ID	Gene.symbol	Gene.title	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
1693_s_at	TIMP1	TIMP metallopeptidase inhibitor 1	0.877	3.069
1717_s_at	BIRC3	baculoviral IAP repeat containing 3	2.176	5.008
1718_at	ARPC2	actin related protein 2/3 complex subunit 2	0.988	3.851
176_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.638	2.888
1794_at	CCND3	cyclin D3	0.37	2.888
1795_g_at	CCND3	cyclin D3	0.781	6.073
1801_at	BARD1	BRCA1 associated RING domain 1	0.56	4.071
1825_at	IQGAP1	IQ motif containing GTPase activating protein 1	1.112	3.492
1935_at	MDM4	MDM4, p53 regulator	-0.435	3.38
1946_at	WT1-AS	WT1 antisense RNA	-0.543	3.052
195_s_at	CASP4	caspase 4	2.069	5.767
1978_at	ITGA2	integrin subunit alpha 2	-0.444	3.327
1984_s_at	ARHGDIB	Rho GDP dissociation inhibitor beta	1.102	2.901
2044_s_at	RB1	RB transcriptional corepressor 1	0.915	2.914
2050_s_at	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	0.58	2.891
2078_s_at	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	-0.398	3.086
245_at	SELL	selectin L	1.706	3.132
277_at	MCL1	BCL2 family apoptosis regulator	1.387	4.612
279_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.589	4.938
288_s_at	LBR	lamin B receptor	1.021	3.563
292_s_at	CLK1	CDC like kinase 1	0.862	3.174
31342_at	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	-0.413	2.646
31382_f_at	UGT2B11	UDP glucuronosyltransferase family 2 member B11	-1.709	3.214
31425_g_at	OR2F2///OR2F1	olfactory receptor family 2 subfamily F member 2///olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	-0.522	3.029
31438_s_at	CD163	CD163 molecule	1.495	4.805
31544_at	FOXI1	forkhead box I1	-0.819	4.524
31597_r_at	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-0.618	3.65
31610_at	PDZK1IP1	PDZK1 interacting protein 1	-1.33	2.992
31622_f_at	MT1F	metallothionein 1F	-1.188	3.833
31623_f_at	MT1A	metallothionein 1A	-1.167	3.518
31728_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	0.749	3.499
31789_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1	-0.758	2.659
31808_at	ING3	inhibitor of growth family member 3	0.727	2.782
31820_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	2.154	6.042
31859_at	MMP9	matrix metallopeptidase 9	0.868	2.91
31870_at	CD37	CD37 molecule	1.158	3.489
31885_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	-0.469	2.668
31919_at	GPR171	G protein-coupled receptor 171	0.963	4.195
31936_s_at	KIAA0430	KIAA0430	0.397	2.766
31950_at	PABPC1	poly(A) binding protein cytoplasmic 1	1.105	3.35
31966_at	DIO1	deiodinase, iodothyronine type I	-1.76	3.637
31975_at	MT4	metallothionein 4	0.412	2.889
319_g_at	H1FX	H1 histone family member X	0.456	2.748
32027_at	PDZK1P1///PDZK1	PDZ domain containing 1 pseudogene 1///PDZ domain containing 1	-1.708	2.651
32035_at	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	1.361	4.194
32070_at	PTPRCAP	protein tyrosine phosphatase, receptor type C associated protein	0.561	3.125
32072_at	MSLN	mesothelin	-0.308	3.661
32079_at	KIF13B	kinesin family member 13B	-0.408	3.259
32112_s_at	AIM1	absent in melanoma 1	0.7	3.133
32162_r_at			-0.611	2.82
32175_at	SEPT7	septin 7	0.907	2.817
32183_at	SRSF11	serine and arginine rich splicing factor 11	0.985	2.934
32189_g_at	MYT1	myelin transcription factor 1	-0.465	3.961
32191_at	PCGF2	polycomb group ring finger 2	-0.295	2.662
