ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
219001_s_at	DCAF10	DDB1 and CUL4 associated factor 10	0.725	2.29
219013_at	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	-1.336	6.31
219014_at	PLAC8	placenta specific 8	1.014	2.955
219030_at	TPRKB	TP53RK binding protein	0.626	2.484
219035_s_at	RNF34	ring finger protein 34	0.598	2.602
219036_at	CEP70	centrosomal protein 70	-0.705	1.997
219039_at	SEMA4C	semaphorin 4C	1.829	3.816
219041_s_at	REPIN1	replication initiator 1	-0.572	2.003
219046_s_at	PKNOX2	PBX/knotted 1 homeobox 2	-1.1	2.109
219055_at	SRBD1	S1 RNA binding domain 1	0.722	2.158
219071_x_at	HGH1	HGH1 homolog	-0.931	4.488
219075_at	YIPF2	Yip1 domain family member 2	2.036	2.085
219076_s_at	PXMP2	peroxisomal membrane protein 2	-1.272	4.587
219077_s_at	WWOX	WW domain containing oxidoreductase	-1.551	5.324
219081_at	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1	0.796	2.796
219082_at	CEMP1///AMDHD2	cementum protein 1///amidohydrolase domain containing 2	1.832	2.561
219095_at	PLA2G4B///JMJD7-PLA2G4B	phospholipase A2 group IVB///JMJD7-PLA2G4B readthrough	1.428	2.15
219096_at	ARMC7	armadillo repeat containing 7	-0.83	2.928
219103_at	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	-1.933	3.424
219109_at	SPAG16	sperm associated antigen 16	-1.02	2.453
219112_at	RAPGEF6	Rap guanine nucleotide exchange factor 6	0.996	2.946
219113_x_at	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14	-1.53	5.509
219114_at	C3orf18	chromosome 3 open reading frame 18	-1.13	2.534
219117_s_at	FKBP11	FK506 binding protein 11	1.227	2.322
219118_at	FKBP11	FK506 binding protein 11	1.129	1.985
219124_at	TTI2	TELO2 interacting protein 2	-0.53	1.981
219126_at	PHF10	PHD finger protein 10	0.511	2.595
219127_at	PRR15L	proline rich 15 like	-1.149	2.037
219128_at	C2orf42	chromosome 2 open reading frame 42	-0.541	2.345
219134_at	ADGRL4	adhesion G protein-coupled receptor L4	2.054	3.075
219137_s_at	MFF	mitochondrial fission factor	-0.762	3.037
219140_s_at	RBP4	retinol binding protein 4	-3.679	2.042
219142_at	RASL11B	RAS like family 11 member B	-1.789	4.486
219144_at	DUSP26	dual specificity phosphatase 26 (putative)	-2.879	6.396
219149_x_at	DBR1	debranching RNA lariats 1	1.649	3.299
219154_at	TMEM120B	transmembrane protein 120B	-0.827	3.026
219156_at	SYNJ2BP-COX16///SYNJ2BP	SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein	-0.931	5.08
219161_s_at	CKLF-CMTM1///CKLF	CKLF-CMTM1 readthrough///chemokine like factor	1.824	7.841
219168_s_at	PRR5	proline rich 5	-0.96	2.039
219169_s_at	TFB1M	transcription factor B1, mitochondrial	-0.637	2.579
219175_s_at	SLC41A3	solute carrier family 41 member 3	-0.784	3.238
219176_at	C2orf47	chromosome 2 open reading frame 47	-0.696	2.498
219185_at	SIRT5	sirtuin 5	-0.877	4.002
219186_at	ZBTB7A	zinc finger and BTB domain containing 7A	-0.606	3.018
219188_s_at	MACROD1	MACRO domain containing 1	-1.462	5.724
219191_s_at	BIN2	bridging integrator 2	1.54	2.529
219192_at	UBAP2	ubiquitin associated protein 2	-0.69	2.304
219194_at	SEMA4G	semaphorin 4G	-0.517	2.318
219195_at	PPARGC1A	PPARG coactivator 1 alpha	-1.605	5.734
219202_at	RHBDF2	rhomboid 5 homolog 2	1.531	3.113
219205_at	SRR	serine racemase	-0.987	4.552
219209_at	IFIH1	interferon induced with helicase C domain 1	0.741	2.092
219215_s_at	SLC39A4	solute carrier family 39 member 4	-1.635	4.327
219220_x_at	MRPS22	mitochondrial ribosomal protein S22	-0.48	2.247
219222_at	RBKS	ribokinase	-0.832	3.521
219223_at	CACFD1	calcium channel flower domain containing 1	-1.271	5.934
219225_at	PGBD5	piggyBac transposable element derived 5	2.769	2.948
219228_at	ZNF331	zinc finger protein 331	-0.946	3.073
219229_at	SLCO3A1	solute carrier organic anion transporter family member 3A1	0.897	2.255
219232_s_at	EGLN3	egl-9 family hypoxia inducible factor 3	3.934	9.472
219237_s_at	DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	0.907	2.892
219243_at	GIMAP4	GTPase, IMAP family member 4	1.615	3.705
219245_s_at	OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2	-0.562	2.265
