ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
33180_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	1.505	7.113
33182_at	NTRK2	neurotrophic receptor tyrosine kinase 2	0.676	2.44
33183_at	GALK1	galactokinase 1	-0.326	2.201
33184_at	GUCA1A	guanylate cyclase activator 1A	-0.34	1.725
33185_at	CLCC1	chloride channel CLIC like 1	-0.54	1.734
33190_g_at	LOC143286	uncharacterized LOC143286	-0.868	4.327
33195_at	DHODH	dihydroorotate dehydrogenase (quinone)	-0.272	2.009
331_at	MAPT	microtubule associated protein tau	-0.627	4.041
33200_at	LLGL1	LLGL1, scribble cell polarity complex component	-0.632	4.825
33201_at			-0.654	8.401
33203_s_at	FOXD1	forkhead box D1	-0.196	1.664
33205_at	SUPT3H	SPT3 homolog, SAGA and STAGA complex component	-0.432	1.934
33206_at	MTSS1L	metastasis suppressor 1 like	-0.28	2.466
33209_at	YY1	YY1 transcription factor	-0.345	2.567
33211_at	RRBP1	ribosome binding protein 1	-0.335	2.666
33216_at	MRPS12	mitochondrial ribosomal protein S12	-0.667	5.886
33218_at	ERBB2	erb-b2 receptor tyrosine kinase 2	0.371	3.189
33219_at	USP33	ubiquitin specific peptidase 33	1.531	6.327
33221_at	PAXIP1	PAX interacting protein 1	-0.539	2.178
33225_at	CYHR1	cysteine and histidine rich 1	-0.474	3.83
33229_at	RPS6KA3	ribosomal protein S6 kinase A3	1.212	4.424
33231_at	PRPF19	pre-mRNA processing factor 19	-0.34	2.447
33233_at	ARID4B///RBM34	AT-rich interaction domain 4B///RNA binding motif protein 34	0.521	3.764
33234_at	ARID4B///RBM34	AT-rich interaction domain 4B///RNA binding motif protein 34	0.88	5.616
33240_at	PDZRN3	PDZ domain containing ring finger 3	0.826	7.063
33241_at	MFAP3L	microfibrillar associated protein 3 like	0.779	2.562
33243_at	TNFAIP8	TNF alpha induced protein 8	0.692	2.129
33244_at	CHN2	chimerin 2	0.471	2.457
33247_at	PSMD14	proteasome 26S subunit, non-ATPase 14	0.934	3.04
33249_at	NR3C2	nuclear receptor subfamily 3 group C member 2	1.016	7.438
33252_at	MCM3	minichromosome maintenance complex component 3	-0.694	2.889
33253_at	TRIM14	tripartite motif containing 14	0.566	4.647
33255_at	NASP	nuclear autoantigenic sperm protein	-0.555	5.395
33257_at	DLST	dihydrolipoamide S-succinyltransferase	-0.356	1.822
33263_at	ENOSF1	enolase superfamily member 1	1.333	9.485
33265_at	PEX2	peroxisomal biogenesis factor 2	0.809	5.729
33266_at	AURKB	aurora kinase B	-0.439	3.576
33267_at	ATP8A1	ATPase phospholipid transporting 8A1	1.36	7.244
33270_i_at	DMXL1	Dmx like 1	1.23	5.1
33271_r_at	DMXL1	Dmx like 1	1.41	4.863
33277_at	MTMR2	myotubularin related protein 2	-0.681	6.271
33278_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	1.194	3.707
33279_s_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	0.405	1.806
33281_at	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon	-0.45	4.847
33284_at	MPO	myeloperoxidase	-0.538	3.567
33287_at	SPOUT1	SPOUT domain containing methyltransferase 1	-0.374	4.441
33291_at	RASGRP1	RAS guanyl releasing protein 1	0.888	4.228
33293_at	FAIM2	Fas apoptotic inhibitory molecule 2	-0.695	6.526
33294_at	EXOSC7	exosome component 7	0.886	4.458
33295_at	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	-0.398	1.981
33296_at	GLCE	glucuronic acid epimerase	0.721	2.902
33297_at	OARD1	O-acyl-ADP-ribose deacylase 1	1.32	6.653
33306_at	ZNF24	zinc finger protein 24	-0.22	1.694
33308_at	GUSB	glucuronidase beta	0.243	1.815
33311_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	0.647	2.751
33313_g_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	1.831	6.577
33314_at	GCDH	glutaryl-CoA dehydrogenase	0.646	3.006
33318_at	MBNL2	muscleblind like splicing regulator 2	0.748	4.407
33322_i_at	SFN	stratifin	-0.453	2.025
33323_r_at	SFN	stratifin	-0.571	2.362
33325_at	RPS6KA2	ribosomal protein S6 kinase A2	0.276	1.838
33326_at	RAB21	RAB21, member RAS oncogene family	0.842	2.671
33328_at	HEG1	heart development protein with EGF like domains 1	0.67	2.557
33329_at	NFIC	nuclear factor I C	-0.323	2.702
33330_at	CLTCL1	clathrin heavy chain like 1	-0.502	3.176
33332_at	SERHL2///SERHL	serine hydrolase-like 2///serine hydrolase-like (pseudogene)	-0.586	4.371
33335_at	COG7	component of oligomeric golgi complex 7	-0.597	2.795
33336_at	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	-0.456	1.93
33337_at	DEGS1	delta 4-desaturase, sphingolipid 1	0.505	2.161
33340_at	PJA2	praja ring finger ubiquitin ligase 2	1.177	6.572
33341_at	GNB1	G protein subunit beta 1	-0.518	3.584
33343_at	RNF14	ring finger protein 14	0.932	3.363
33344_at	MED14	mediator complex subunit 14	-0.653	3.628
33345_at	KIF3C	kinesin family member 3C	-0.325	2.184
33349_at	TNPO1	transportin 1	-0.397	2.491
33351_at	EIF1B	eukaryotic translation initiation factor 1B	0.877	2.72
33354_at	SMURF2	SMAD specific E3 ubiquitin protein ligase 2	1.018	6.478
33355_at	PBX1	PBX homeobox 1	0.596	3.625
33358_at	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	0.43	3.114
33363_at	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1	-0.493	2.531
33366_at	SGSM3	small G protein signaling modulator 3	-0.421	4.604
33367_s_at	AZIN1	antizyme inhibitor 1	0.568	2.331
33368_at	AZIN1	antizyme inhibitor 1	1.361	4.636
33369_at	MSMO1	methylsterol monooxygenase 1	1.446	6.308
33370_r_at	MSMO1	methylsterol monooxygenase 1	0.758	2.26
33373_at	FUBP1	far upstream element binding protein 1	0.458	1.695
33374_at	C2	complement component 2	-0.524	3.942
33376_at			-0.285	1.684
33377_at	SEBOX///VTN	SEBOX homeobox///vitronectin	0.41	2.393
33379_at	SSX2IP	SSX family member 2 interacting protein	-0.319	1.998
33380_at	PAPD7	poly(A) RNA polymerase D7, non-canonical	0.686	4.487
33381_at	NCOA3	nuclear receptor coactivator 3	1.221	4.899
33384_at	CAST	calpastatin	-0.558	2.199
33385_g_at	CAST	calpastatin	0.765	4.485
33391_r_at	LOC101928634///SNORA67///CD68	uncharacterized LOC101928634///small nucleolar RNA, H/ACA box 67///CD68 molecule	-0.855	5.054
33393_at	DDX19B	DEAD-box helicase 19B	0.259	2.779
33395_at	SZRD1	SUZ RNA binding domain containing 1	-0.588	6.398
33398_at	ACIN1	apoptotic chromatin condensation inducer 1	-0.343	1.884
33399_at	SPTSSA	serine palmitoyltransferase small subunit A	1.293	7.162
333_s_at	RBMS1	RNA binding motif single stranded interacting protein 1	0.786	5.522
33400_r_at	SPTSSA	serine palmitoyltransferase small subunit A	1.193	2.81
33403_at	CHTOP	chromatin target of PRMT1	1.333	7.012
33404_at	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	0.703	5.596
33408_at	DIP2C	disco interacting protein 2 homolog C	0.462	3.655
33409_at	FKBP2	FK506 binding protein 2	0.834	3.827
33411_g_at	ITGA6	integrin subunit alpha 6	0.538	3.569
33414_at	LOC101060373///NOMO3///NOMO2///NOMO1	uncharacterized LOC101060373///NODAL modulator 3///NODAL modulator 2///NODAL modulator 1	0.412	2.773
33416_at	TCF25	transcription factor 25	-0.36	1.882
33418_at	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	0.683	8.156
33421_s_at	SC5D	sterol-C5-desaturase	0.573	2.451
33423_g_at	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	0.768	4.454
33431_at	FMOD	fibromodulin	-0.252	1.754
33432_at	MED8	mediator complex subunit 8	0.274	1.951
33434_at	BET1	Bet1 golgi vesicular membrane trafficking protein	0.656	3.615
33437_at	FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)	0.467	3.503
33438_at	WBP2	WW domain binding protein 2	1.107	4.106
33439_at	SIK1	salt inducible kinase 1	0.787	4.131
33440_at	ZEB1	zinc finger E-box binding homeobox 1	1.242	5.336
33441_at	TCTA	T-cell leukemia translocation altered	-0.277	3.207
33442_at	PRUNE2	prune homolog 2	1.095	6.761
33443_at	SERINC1	serine incorporator 1	1.888	4.907
33445_at	ABAT	4-aminobutyrate aminotransferase	-0.483	3.203
33446_at	ABAT	4-aminobutyrate aminotransferase	1.577	4.078
33450_at	ACTL6B	actin like 6B	-0.491	2.086
33451_s_at	RPL22	ribosomal protein L22	1	5.426
33452_at	PLAT	plasminogen activator, tissue type	0.388	1.66
33456_at	MAPRE1	microtubule associated protein RP/EB family member 1	0.706	2.014
33457_at	FAM208A	family with sequence similarity 208 member A	1.184	5.052
33459_at			-0.574	1.985
33469_r_at	CFHR3	complement factor H related 3	-0.496	3.333
33470_at	GRIP2	glutamate receptor interacting protein 2	-1.079	3.827
33471_g_at	GRIP2	glutamate receptor interacting protein 2	-0.476	3.244
33474_at	GLI1	GLI family zinc finger 1	-0.721	6.351
33477_at	RAB40A	RAB40A, member RAS oncogene family	-0.473	3.164
33478_at	TNP2	transition protein 2	-0.651	1.679
33480_at	MLN	motilin	-0.555	4.544
33482_at	MYOD1	myogenic differentiation 1	-0.731	4.468
33484_at	RNF2	ring finger protein 2	0.502	2.207
33487_at	HPD	4-hydroxyphenylpyruvate dioxygenase	1.573	3.534
33488_at	TLR3	toll like receptor 3	0.693	2.504
33494_at	ETFDH	electron transfer flavoprotein dehydrogenase	0.396	1.714
33496_at	AGTR2	angiotensin II receptor type 2	-0.914	5.208
33498_at	REG1CP	regenerating family member 1 gamma, pseudogene	-0.38	2.629
334_s_at	VIP	vasoactive intestinal peptide	-0.53	5.854
33503_at	AIPL1	aryl hydrocarbon receptor interacting protein like 1	-0.444	2.599
33506_at	INPP4A	inositol polyphosphate-4-phosphatase type I A	-0.3	2.069
33509_at	GRM1	glutamate metabotropic receptor 1	-0.322	1.813
33512_at	GUCA2B	guanylate cyclase activator 2B	-0.878	4.278
33514_at	CAMK4	calcium/calmodulin dependent protein kinase IV	-0.887	7.046
33515_at	TCP10	t-complex 10	-0.332	2.338
33516_at	HBD	hemoglobin subunit delta	1.373	2.459
33521_at	ATP4A	ATPase H+/K+ transporting alpha subunit	-0.279	1.823
33524_at	CRKL	CRK like proto-oncogene, adaptor protein	-0.476	2.766
33527_at	KCNJ3	potassium voltage-gated channel subfamily J member 3	0.649	2.558
33530_at	CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8	-0.33	2.225
33536_at	PRKG2	protein kinase, cGMP-dependent, type II	-0.671	3.323
33543_s_at	PNN	pinin, desmosome associated protein	0.945	5.257
33545_at	SCN4A	sodium voltage-gated channel alpha subunit 4	-0.336	2.08
33557_at	C22orf31	chromosome 22 open reading frame 31	-0.551	5.937
33560_at			-0.556	1.657
33563_s_at	COL4A3	collagen type IV alpha 3 chain	-0.569	1.818
33564_at	AFM	afamin	1.571	6.201
33566_at	ZNF169	zinc finger protein 169	-0.311	2.8
33569_at	CLEC10A	C-type lectin domain family 10 member A	-0.333	2.113
33576_at	SLITRK5	SLIT and NTRK like family member 5	-0.419	2.171
33580_r_at	GALR3	galanin receptor 3	-0.516	5.414
33581_at	RBMS3	RNA binding motif single stranded interacting protein 3	-0.263	2.147
33583_r_at	RBMS3	RNA binding motif single stranded interacting protein 3	-0.705	6.532
33589_at			-0.565	4.544
33592_at	ZBTB7B	zinc finger and BTB domain containing 7B	-0.433	2.664
33593_at	CDY1B///CDY2B///CDY2A///CDY1	chromodomain Y-linked 1B///chromodomain Y-linked 2B///chromodomain Y-linked 2A///chromodomain Y-linked 1	-0.6	2.98
33597_at	ZNF132	zinc finger protein 132	-0.303	1.834
33599_at	RAB30	RAB30, member RAS oncogene family	-0.642	2.606
335_r_at	SF3A2	splicing factor 3a subunit 2	-1.003	7.058
33600_at	GRAP	GRB2-related adaptor protein	-0.256	2.019
33603_at	ABCD1	ATP binding cassette subfamily D member 1	-0.329	1.761
33604_at	IRS4	insulin receptor substrate 4	-0.69	5.872
33607_at	HTR1E	5-hydroxytryptamine receptor 1E	-0.344	2.285
33608_at	LY6G6F///LY6G6D	lymphocyte antigen 6 complex, locus G6F///lymphocyte antigen 6 complex, locus G6D	-0.419	3.694
33611_g_at	CLDN8	claudin 8	1.181	5.155
33615_at	OR1E1	olfactory receptor family 1 subfamily E member 1	-0.303	2.011
33617_s_at	ZBTB25	zinc finger and BTB domain containing 25	-1.055	9.132
33620_at	HOXB3	homeobox B3	-0.427	4.718
33621_at	HNF1B	HNF1 homeobox B	-0.468	2.519
33627_at	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	-0.387	2.206
33628_g_at	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	-0.649	4.003
33631_at	TXNL4A	thioredoxin like 4A	1.1	6.162
33633_at	PPAN-P2RY11///P2RY11	PPAN-P2RY11 readthrough///purinergic receptor P2Y11	-0.36	2.903
33636_at	CTAG1A///CTAG1B	cancer/testis antigen 1A///cancer/testis antigen 1B	-0.507	4.701
33640_at	AIF1	allograft inflammatory factor 1	-0.315	2.171
33648_at	ERICH1	glutamate rich 1	-0.354	2.705
33650_at	DDX27	DEAD-box helicase 27	-0.692	2.405
33653_at	MYF5	myogenic factor 5	-1.042	3.304
33658_at	ZNF124	zinc finger protein 124	0.544	2.199
33661_at	FAM69A	family with sequence similarity 69 member A	0.298	2.225
33665_s_at	CSF2RA	colony stimulating factor 2 receptor alpha subunit	-0.635	2.22
33666_at	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	0.71	2.417
33669_at	RFX4	regulatory factor X4	-0.519	1.764
33678_i_at	TUBB4B	tubulin beta 4B class IVb	0.491	2.447
33680_f_at	GAGE10///GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1	G antigen 10///G antigen 12D///G antigen 8///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 2E///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 2C///G antigen 1	-0.563	2.06
33683_at	TUG1	taurine up-regulated 1 (non-protein coding)	0.436	2.062
33688_at	GBX2	gastrulation brain homeobox 2	-0.507	2.446
33690_at	LONRF1	LON peptidase N-terminal domain and ring finger 1	0.499	1.996
33691_at	SPATA31C2	SPATA31 subfamily C member 2	-0.467	2.19
33692_at			-0.508	1.765
33696_at	CBARP	CACN beta subunit associated regulatory protein	-0.402	2.408
33697_at	P2RX7	purinergic receptor P2X 7	-0.592	6.083
33699_at	PGC	progastricsin	-0.381	2.223
33700_at	SPRY2	sprouty RTK signaling antagonist 2	0.661	3.854
33701_at	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase	1.189	2.458
33704_at	URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	-0.625	2.33
33706_at	SART1	squamous cell carcinoma antigen recognized by T-cells 1	0.56	3.066
33716_at	RAB22A	RAB22A, member RAS oncogene family	0.524	2.408
33719_at	SYNPO	synaptopodin	-0.664	2.738
33720_at	PNO1	partner of NOB1 homolog	0.716	3.11
33721_at	ABCC2	ATP binding cassette subfamily C member 2	0.582	2.492
33724_at	BRCA1	BRCA1, DNA repair associated	-0.311	1.683
33725_at	MAP1A	microtubule associated protein 1A	-0.413	2.763
33727_r_at	RTEL1-TNFRSF6B///TNFRSF6B	RTEL1-TNFRSF6B readthrough (NMD candidate)///TNF receptor superfamily member 6b	-0.853	5.523
33729_at	SLC25A14	solute carrier family 25 member 14	-0.396	2.924
33732_at	AP4M1	adaptor related protein complex 4 mu 1 subunit	-0.478	3.64
33735_at	SEZ6L	seizure related 6 homolog like	-0.402	2.412
33736_at	STOML1	stomatin like 1	-0.362	1.715
33738_r_at	ST20-MTHFS///ST20///MTHFS	ST20-MTHFS readthrough///suppressor of tumorigenicity 20///5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	-0.739	5.604
33742_f_at	ATP6V1H	ATPase H+ transporting V1 subunit H	-0.781	1.862
33749_at	TP53TG1	TP53 target 1 (non-protein coding)	0.488	2.677
33752_at	IVNS1ABP	influenza virus NS1A binding protein	0.614	2.377
33753_at	DAAM1	dishevelled associated activator of morphogenesis 1	0.93	3.926
33761_s_at	FAM91A1///LINC00869	family with sequence similarity 91 member A1///long intergenic non-protein coding RNA 869	1.097	5.54
33762_r_at	LINC00869	long intergenic non-protein coding RNA 869	-0.443	3.182
33765_at			-1.023	1.831
33766_at	VIPR1	vasoactive intestinal peptide receptor 1	-0.248	2.231
33767_at	NEFH	neurofilament heavy polypeptide	-0.475	1.948
33768_at	DMWD	dystrophia myotonica, WD repeat containing	-0.736	5.98
33769_at	MPZL1	myelin protein zero like 1	0.542	1.859
33770_at	CHUK	conserved helix-loop-helix ubiquitous kinase	0.727	2.71
33776_at	RWDD3	RWD domain containing 3	0.701	2.803
33777_at	TBXAS1	thromboxane A synthase 1	-0.797	3.68
33778_at	TBC1D22A	TBC1 domain family member 22A	0.206	1.715
33779_at	VAMP1	vesicle associated membrane protein 1	-0.421	2.139
33781_s_at	UBE2M	ubiquitin conjugating enzyme E2 M	0.368	3.813
33782_r_at	UBE2M	ubiquitin conjugating enzyme E2 M	-0.481	4.019
33788_at	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	0.671	3.505
33791_at	DLEU1	deleted in lymphocytic leukemia 1	1.153	7.14
33793_at	TCF20	transcription factor 20	-0.613	1.734
33794_g_at	TCF20	transcription factor 20	-0.217	1.968
33795_at	TCF20	transcription factor 20	-0.302	1.902
33798_at	SMG6	SMG6, nonsense mediated mRNA decay factor	-0.364	3.242
33799_at	SIAH2	siah E3 ubiquitin protein ligase 2	0.394	1.806
33800_at	ADCY9	adenylate cyclase 9	0.322	2.681
33805_at	CEP350	centrosomal protein 350	1.064	7.632
33809_at	GNAI1	G protein subunit alpha i1	0.642	2.366
33810_at	TRRAP	transformation/transcription domain associated protein	1.222	5.547
33811_at	DYX1C1-CCPG1///CCPG1	DYX1C1-CCPG1 readthrough (NMD candidate)///cell cycle progression 1	0.435	3.395
33812_at	ADAM19	ADAM metallopeptidase domain 19	-0.742	2.812
33814_at	PAK4	p21 (RAC1) activated kinase 4	-0.348	3.373
33816_at	MYO9B	myosin IXB	-0.86	2.42
33817_at	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	0.686	3.027
33818_at	VCP	valosin containing protein	-0.205	1.863
33821_at	ELOVL5	ELOVL fatty acid elongase 5	1.03	2.823
33825_at	SERPINA3	serpin family A member 3	-0.533	4.068
33826_at	CIZ1	CDKN1A interacting zinc finger protein 1	-0.417	2.726
33828_at	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	0.521	1.716
33830_at	LEPROT	leptin receptor overlapping transcript	1.196	5.326
33831_at	CREBBP	CREB binding protein	1.175	1.819
33834_at	CXCL12	C-X-C motif chemokine ligand 12	0.795	2.504
33835_at	TSPYL4	TSPY like 4	1.397	7.087
33836_at	LOC101060275///NPIPA8///NPIPA7///NPIPB9///NPIPA5///NPIPB5///NPIPB11///NPIPB6///NPIPB8///NPIPA2///NPIPA3///LOC613037///NPIPB4///PKD1P1///PDXDC2P///NPIPB3///NPIPA1	putative NPIP-like protein LOC613037///nuclear pore complex interacting protein family member A8///nuclear pore complex interacting protein family member A7///nuclear pore complex interacting protein family member B9///nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein family member B11///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B8///nuclear pore complex interacting protein family member A2///nuclear pore complex interacting protein family member A3///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///polycystin 1, transient receptor potential channel interacting pseudogene 1///pyridoxal dependent decarboxylase domain containing 2, pseudogene///nuclear pore complex interacting protein family member B3///nuclear pore complex interacting protein family member A1	1.045	4.671
33837_at	SRP72	signal recognition particle 72	0.973	4.869
33841_at	FAM214B	family with sequence similarity 214 member B	-0.283	2.646
33842_at	FAM214B	family with sequence similarity 214 member B	-0.437	2.738
33843_g_at	FAM214B	family with sequence similarity 214 member B	-0.469	3.804
33845_at			1.217	3.99
33846_at			-0.523	3.172
33847_s_at	CDKN1B	cyclin dependent kinase inhibitor 1B	1.272	4.918
33848_r_at	CDKN1B	cyclin dependent kinase inhibitor 1B	0.66	2.365
33851_at	CFAP20	cilia and flagella associated protein 20	-0.331	2.169
33852_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.95	4.311
33853_s_at	NRP2	neuropilin 2	-0.526	6.271
33854_at	ATP6V1D	ATPase H+ transporting V1 subunit D	0.754	2.416
33855_at	GRB2	growth factor receptor bound protein 2	0.988	3.681
33856_at	FAM127A	family with sequence similarity 127 member A	1.128	6.729
33859_at	SAP18	Sin3A associated protein 18	0.708	2.041
33863_at	HYOU1	hypoxia up-regulated 1	-0.441	2.629
33865_at	ZMYND11	zinc finger MYND-type containing 11	1.554	4.877
33867_s_at	RBMS1	RNA binding motif single stranded interacting protein 1	-1.051	5.146
33868_at	POLDIP3	DNA polymerase delta interacting protein 3	-0.405	2.439
33869_at	STAT5B	signal transducer and activator of transcription 5B	-0.314	2.028
33870_at	KDM3B	lysine demethylase 3B	-0.278	1.727
33873_at	VPS72	vacuolar protein sorting 72 homolog	0.215	1.858
33874_at	ATP6V0E1	ATPase H+ transporting V0 subunit e1	-0.84	6.548
33876_at	WWTR1	WW domain containing transcription regulator 1	1.327	3.165
33877_s_at	MTDH	metadherin	1.191	7.543
33878_at	EFHD1	EF-hand domain family member D1	0.766	1.944
33880_at	ACSL3	acyl-CoA synthetase long-chain family member 3	1.159	6.517
33881_at	ACSL3	acyl-CoA synthetase long-chain family member 3	1.084	6.489
33886_at	ABI1	abl interactor 1	1.322	4.293
33892_at	PKP2	plakophilin 2	0.642	2.689
33894_at	NET1	neuroepithelial cell transforming 1	1.635	5.434
