ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
37345_at	CALU	calumenin	0.69	2.007
37350_at	PSMD10	proteasome 26S subunit, non-ATPase 10	0.575	3.167
37351_at	UPP1	uridine phosphorylase 1	0.652	3.75
37352_at	SP100	SP100 nuclear antigen	1.125	6.105
37353_g_at	SP100	SP100 nuclear antigen	0.384	3.758
37357_at	LOC101060817///LOC729080///GCSH	glycine cleavage system H protein, mitochondrial-like///glycine cleavage system protein H (aminomethyl carrier) pseudogene///glycine cleavage system protein H	-1.17	2.574
37358_at	UBE2E1	ubiquitin conjugating enzyme E2 E1	0.64	2.206
37376_at	UBXN1	UBX domain protein 1	0.458	3.313
37378_r_at	LMNA	lamin A/C	-0.523	2.9
37380_at	GTF2B	general transcription factor IIB	1.418	3.672
37381_g_at	GTF2B	general transcription factor IIB	0.709	3.165
37383_f_at	HLA-C///HLA-B	major histocompatibility complex, class I, C///major histocompatibility complex, class I, B	1.752	7.519
37384_at	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	0.377	3.094
37396_at	RFXANK	regulatory factor X associated ankyrin containing protein	-0.724	3.375
37397_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.727	3.727
37398_at	PECAM1	platelet and endothelial cell adhesion molecule 1	1.449	5.729
37399_at	AKR1C3	aldo-keto reductase family 1, member C3	-1.274	3.348
37402_at	RNASE1	ribonuclease A family member 1, pancreatic	0.963	2.156
37403_at	ANXA1	annexin A1	1.8	7.553
37404_at	RGS12	regulator of G-protein signaling 12	-0.264	2.544
37405_at	SELENBP1	selenium binding protein 1	-0.849	3.475
37412_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	-0.624	2.659
37413_at	DPEP1	dipeptidase 1 (renal)	-0.714	4.693
37417_at	POU2F2	POU class 2 homeobox 2	-0.337	2.112
37419_g_at	POU2F2	POU class 2 homeobox 2	-0.501	5.571
37420_i_at	HLA-F	major histocompatibility complex, class I, F	3.132	8.996
37421_f_at	HLA-F	major histocompatibility complex, class I, F	1.754	5.59
37422_at	PPIC	peptidylprolyl isomerase C	0.503	2.199
37423_at	SLC12A2	solute carrier family 12 member 2	-0.572	3.21
37425_g_at	CCHCR1	coiled-coil alpha-helical rod protein 1	0.381	2.615
37427_at	NTNG1	netrin G1	-0.419	3.368
37428_at	NTNG1	netrin G1	-0.599	3.828
37429_g_at	NTNG1	netrin G1	-0.452	2.178
37430_at	ALOX15B	arachidonate 15-lipoxygenase, type B	-0.314	2.216
37432_g_at	PIAS2	protein inhibitor of activated STAT 2	-0.413	3.389
37447_at	GPER1	G protein-coupled estrogen receptor 1	0.391	2.021
37455_at	CXCR5	C-X-C motif chemokine receptor 5	-0.286	2.456
37456_at	LGALS2	galectin 2	-0.837	2.348
37457_at	LRRTM2	leucine rich repeat transmembrane neuronal 2	-0.755	3.13
37458_at	CDC45	cell division cycle 45	-0.271	2.917
37460_at	TIAM1	T-cell lymphoma invasion and metastasis 1	-0.417	3.652
37463_r_at	SF3A2	splicing factor 3a subunit 2	-0.594	2.953
37468_at	JAK2	Janus kinase 2	0.557	2.176
37470_at	LAIR1	leukocyte associated immunoglobulin like receptor 1	0.353	3.275
37471_at	RPP40	ribonuclease P/MRP subunit p40	0.642	3.973
37473_at	KRT16	keratin 16	-0.387	3.279
37475_at	WDR62	WD repeat domain 62	-0.253	1.884
37478_at	SCGN	secretagogin, EF-hand calcium binding protein	-0.309	3.126
37480_at	THPO	thrombopoietin	0.695	4.49
37484_at	ITGA1	integrin subunit alpha 1	0.463	3.261
37485_at	SLC27A2	solute carrier family 27 member 2	-1.736	4.545
37486_f_at	MEIS3P1	Meis homeobox 3 pseudogene 1	-0.494	2.126
37488_at	CHURC1-FNTB///FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta	-0.296	1.939
37489_s_at	SLC4A3	solute carrier family 4 member 3	-0.451	3.344
37490_at	SLC4A3	solute carrier family 4 member 3	-0.282	2.46
37492_at	CLMN	calmin	-0.296	1.873
37493_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1.548	2.785
37494_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	-0.253	2.327
37503_at	TBC1D30	TBC1 domain family member 30	-0.671	5.225
37506_at	PRPF40A	pre-mRNA processing factor 40 homolog A	0.591	3.07
37508_f_at	PRPF40A	pre-mRNA processing factor 40 homolog A	1.213	7.367
37509_at	CRLF3	cytokine receptor like factor 3	1.528	5.825
37511_at	B9D1	B9 domain containing 1	-0.469	2.22
37514_s_at	MASP2	mannan binding lectin serine peptidase 2	-0.386	2.222
37516_at	DDN	dendrin	-0.456	3.286
37519_at	ASGR1	asialoglycoprotein receptor 1	-0.493	2.287
37523_at	ACADL	acyl-CoA dehydrogenase, long chain	-0.626	5.924
37524_at	STK17B	serine/threonine kinase 17b	1.002	3.316
37528_at	ASPH	aspartate beta-hydroxylase	-0.227	2.28
37532_at	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	-1.019	2.178
37534_at	CXADR	coxsackie virus and adenovirus receptor	0.504	1.9
37535_at	CREB1	cAMP responsive element binding protein 1	0.93	2.395
37538_at	LOC730101	uncharacterized LOC730101	-0.414	2.726
37540_at	MYOM2	myomesin 2	-0.513	3.43
37542_at	LHFPL2	lipoma HMGIC fusion partner-like 2	0.686	4.208
37543_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6	0.896	5.413
37546_r_at	SCAMP5	secretory carrier membrane protein 5	-0.793	2.478
37549_g_at	BBS9	Bardet-Biedl syndrome 9	0.392	3.766
37554_at	KLK6	kallikrein related peptidase 6	-0.741	4.339
37561_at	NFYA	nuclear transcription factor Y subunit alpha	0.385	2.351
37565_at	MMD	monocyte to macrophage differentiation associated	0.326	2.038
37566_at	PHF24	PHD finger protein 24	-0.943	3.331
37567_at	SALL2	spalt like transcription factor 2	-0.278	1.93
37569_at	PDCD6	programmed cell death 6	0.401	1.979
37570_at	ARL2-SNX15///SNX15	ARL2-SNX15 readthrough (NMD candidate)///sorting nexin 15	-0.677	4.199
37572_at	CCK	cholecystokinin	0.334	2.032
37579_at	CYFIP2	cytoplasmic FMR1 interacting protein 2	-0.481	2.272
37587_at	RCVRN	recoverin	0.334	1.966
37588_s_at	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	-0.367	2.166
37590_g_at			-0.359	3.872
37591_at	UCP2	uncoupling protein 2	1.211	6.74
37594_at	BHMT	betaine--homocysteine S-methyltransferase	-2.449	4.588
37596_at	PLCD1	phospholipase C delta 1	-0.363	3.583
37598_at	RASSF2	Ras association domain family member 2	1.647	5.227
37601_at	SLC22A3	solute carrier family 22 member 3	-0.39	2.628
37606_at	KHK	ketohexokinase	-0.368	4.11
37608_g_at	KHK	ketohexokinase	-1.205	4.988
37614_g_at	PVALB	parvalbumin	-0.543	3.068
37615_at	GRB10	growth factor receptor bound protein 10	-0.423	2.146
37616_at	AUH	AU RNA binding methylglutaconyl-CoA hydratase	-0.661	2.633
37628_at	MAOB	monoamine oxidase B	-0.741	5.521
37629_at	CSNK2A2	casein kinase 2 alpha 2	-0.36	2.241
37630_at	CHRDL1	chordin like 1	-0.325	2.128
37634_at	PAEP	progestagen associated endometrial protein	-0.359	2.001
37637_at	RGS3	regulator of G-protein signaling 3	-0.321	2.152
37639_at	HPN	hepsin	-0.717	2.915
37641_at	IFI44	interferon induced protein 44	0.77	3.515
37644_s_at	FAS	Fas cell surface death receptor	-0.701	2.6
37645_at	CD69	CD69 molecule	1.703	6.288
37646_at	POLD3	DNA polymerase delta 3, accessory subunit	-0.528	3.676
37647_at	AOAH	acyloxyacyl hydrolase	0.856	6.653
37648_at	TTLL12	tubulin tyrosine ligase like 12	-0.349	2.139
37650_at	MKRN1	makorin ring finger protein 1	1.016	8.33
37651_at	RCOR1	REST corepressor 1	-0.722	2.665
37655_at	GOLGB1	golgin B1	-0.311	2.632
37656_at	SCAP	SREBF chaperone	0.375	2.416
37657_at	PALM	paralemmin	-0.277	2.797
37665_at	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha	-0.827	3.23
37669_s_at	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	-1.219	3.618
37672_at	USP7	ubiquitin specific peptidase 7	0.39	2.932
37676_at	PDE8A	phosphodiesterase 8A	-0.394	2.72
37682_r_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	0.291	1.927
37684_at	SLCO2B1	solute carrier organic anion transporter family member 2B1	0.589	3.119
37685_at	PICALM	phosphatidylinositol binding clathrin assembly protein	0.877	2.617
37688_f_at	FCGR2A	Fc fragment of IgG receptor IIa	2.817	4.975
37689_s_at	FCGR2A	Fc fragment of IgG receptor IIa	0.568	6.401
37697_s_at	VDAC2	voltage dependent anion channel 2	-0.453	2.032
37701_at	RGS2	regulator of G-protein signaling 2	1.397	2.904
37704_at	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	-0.425	3.937
37706_at	GLG1	golgi glycoprotein 1	-0.401	4.508
37712_g_at	MEF2C	myocyte enhancer factor 2C	-0.563	3.395
37713_at	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1	-1.276	3.874
37716_at	CD200	CD200 molecule	0.652	5.865
37718_at	SNRK	SNF related kinase	0.745	2.312
37720_at	HSPD1	heat shock protein family D (Hsp60) member 1	-0.77	2.476
37725_at	PPP1CC	protein phosphatase 1 catalytic subunit gamma	0.464	2.724
37729_at	XPO1	exportin 1	0.74	2.587
37730_at	SND1	staphylococcal nuclease and tudor domain containing 1	0.352	3.716
37731_at	EPS15	epidermal growth factor receptor pathway substrate 15	0.761	3.966
37735_at	DNAJC25-GNG10///GNG10	DNAJC25-GNG10 readthrough///G protein subunit gamma 10	1.312	3.174
37736_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	0.567	2.166
37739_at	SSRP1	structure specific recognition protein 1	0.442	2.21
37742_at	TMPPE///GLB1	transmembrane protein with metallophosphoesterase domain///galactosidase beta 1	0.252	2.024
37744_r_at	FEZ1	fasciculation and elongation protein zeta 1	-0.528	2.639
37747_at	ANXA5	annexin A5	1.157	4.954
37753_at	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	-0.288	4.103
37754_at	LGALS3BP	galectin 3 binding protein	0.626	2.53
37758_s_at			0.245	2.267
37759_at	LAPTM5	lysosomal protein transmembrane 5	2.558	10.567
37761_at	BAIAP2	BAI1 associated protein 2	-0.402	2.273
37762_at	EMP1	epithelial membrane protein 1	-0.628	2.344
37765_at	LMOD1	leiomodin 1	-0.328	2.582
37767_at	HTT	huntingtin	-0.286	2.06
37779_at	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	-0.173	1.974
37785_at	RND1	Rho family GTPase 1	-0.543	5.307
37795_at	ARSB	arylsulfatase B	-0.339	2.382
37800_r_at	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	-1.718	5.867
37809_at	HOXA10-HOXA9///MIR196B///HOXA9	HOXA10-HOXA9 readthrough///microRNA 196b///homeobox A9	-0.352	2.318
37813_at	DDX51	DEAD-box helicase 51	-0.324	3.493
37817_at	CACTIN	cactin, spliceosome C complex subunit	0.525	2.129
37818_at	FBXO46	F-box protein 46	-0.627	4.235
37820_at	PRODH2	proline dehydrogenase 2	-2.187	7.497
37822_at	KNOP1	lysine rich nucleolar protein 1	-0.519	4.592
37828_at	RSBN1	round spermatid basic protein 1	0.533	3.847
37833_at	SERPINA6	serpin family A member 6	-0.439	4.177
37842_at	MDFIC	MyoD family inhibitor domain containing	0.851	3.781
37844_at	IL27RA	interleukin 27 receptor subunit alpha	0.862	6.372
37847_at	USH1C	USH1 protein network component harmonin	-0.286	2.165
37851_at	HIPK2	homeodomain interacting protein kinase 2	-0.536	1.88
37859_r_at	RPL23AP53	ribosomal protein L23a pseudogene 53	-0.924	3.92
37864_s_at	MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG2///IGHG1	microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)	3.711	4.039
37866_at	LINC01314	long intergenic non-protein coding RNA 1314	-0.41	2.099
37867_at	MOG	myelin oligodendrocyte glycoprotein	-0.345	3.501
37873_g_at	JRK	Jrk helix-turn-helix protein	0.234	1.946
37882_at	GTF2E1	general transcription factor IIE subunit 1	0.392	2.008
37886_at	AKAP8L	A-kinase anchoring protein 8 like	-0.42	2.371
37888_at	SLC35D1	solute carrier family 35 member D1	-0.508	4.187
37890_at	CD47	CD47 molecule	0.615	3.817
37894_at	CUL2	cullin 2	0.732	4.09
37895_at	SLC35A1	solute carrier family 35 member A1	0.538	3.96
37898_r_at	TFF3	trefoil factor 3	-0.467	4.292
37899_at	TYMS	thymidylate synthetase	0.467	3.631
37910_at	HCFC1	host cell factor C1	0.647	3.649
37912_at	TRAF4	TNF receptor associated factor 4	-0.453	2.744
37915_at	BAZ2B	bromodomain adjacent to zinc finger domain 2B	0.453	2.376
37917_at	MIOS	meiosis regulator for oocyte development	0.502	5.023
37918_at	ITGB2	integrin subunit beta 2	1.436	8.531
37920_at	PITX1	paired like homeodomain 1	-0.286	2.35
37922_at	TCN2	transcobalamin 2	-0.246	2.318
37923_at	APOM	apolipoprotein M	-0.748	4.519
37924_g_at	APOM	apolipoprotein M	-0.925	4.62
37925_r_at	APOM	apolipoprotein M	-0.706	1.885
37930_at	ATP7B	ATPase copper transporting beta	-0.333	2.005
37934_at	TMEM30B	transmembrane protein 30B	-0.797	5.499
37935_at	PRPF4	pre-mRNA processing factor 4	-0.576	3.737
37936_at	PRPF4	pre-mRNA processing factor 4	-0.289	4
37938_at	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	0.546	2.499
37947_at	BRD3	bromodomain containing 3	0.569	3.956
37957_at	ATG4A	autophagy related 4A cysteine peptidase	-0.268	2.747
37964_at	PCGF3	polycomb group ring finger 3	0.856	5.231
37965_at	PARVB	parvin beta	-0.454	2.635
37971_at	BAZ1A	bromodomain adjacent to zinc finger domain 1A	1.44	3.384
37974_at	MSL3	male-specific lethal 3 homolog (Drosophila)	0.909	2.99
37975_at	CYBB	cytochrome b-245 beta chain	1.187	5.476
37978_at	QPRT	quinolinate phosphoribosyltransferase	-0.663	7.69
37981_at	DBN1	drebrin 1	0.375	3.861
37982_at	ECI1	enoyl-CoA delta isomerase 1	-0.498	2.154
37984_s_at	ARF6	ADP ribosylation factor 6	0.603	1.863
37986_at	EPOR	erythropoietin receptor	-0.345	2.205
37996_s_at	DMPK	dystrophia myotonica protein kinase	-0.314	2.806
37999_at	CPOX	coproporphyrinogen oxidase	0.446	1.935
379_at	TXNDC9	thioredoxin domain containing 9	0.657	2.461
38000_at	PC	pyruvate carboxylase	-0.708	4.157
38006_at	CD48	CD48 molecule	1.339	6.138
38009_at	SPDEF	SAM pointed domain containing ETS transcription factor	0.496	2.401
38010_at	BNIP3	BCL2 interacting protein 3	-0.571	2.611
38014_at	ADAR	adenosine deaminase, RNA specific	0.816	6.81
38022_s_at	PLEC	plectin	-0.359	1.899
38029_at	SLC3A2	solute carrier family 3 member 2	-0.656	4.615
38030_at	U2SURP	U2 snRNP associated SURP domain containing	-0.381	1.915
38031_at	EIF4A3	eukaryotic translation initiation factor 4A3	1.072	3.036
38035_at	MTMR6	myotubularin related protein 6	0.651	4.861
38041_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	1.231	5.071
38043_at	FAM3A	family with sequence similarity 3 member A	-0.425	3.532
38046_at	IK	IK cytokine, down-regulator of HLA II	0.472	2.197
38050_at	BCLAF1	BCL2 associated transcription factor 1	0.91	5.353
38052_at	F13A1	coagulation factor XIII A chain	0.405	1.887
38054_at	LAMTOR5	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	-0.775	2.589
38057_at	DPT	dermatopontin	-0.384	3.778
38058_at	DPT	dermatopontin	-0.436	2.465
38059_g_at	DPT	dermatopontin	0.385	2.528
38064_at	MVP	major vault protein	0.867	5.049
38065_at	HMGB2	high mobility group box 2	1.757	6.342
38069_at	CLCN7	chloride voltage-gated channel 7	0.511	5.831
38074_at	AP3S1	adaptor related protein complex 3 sigma 1 subunit	0.51	2.625
38077_at	COL6A3	collagen type VI alpha 3 chain	0.666	7.288
38080_at	COX8A	cytochrome c oxidase subunit 8A	-0.584	3.601
38081_at	LOC101928830///LTA4H	uncharacterized LOC101928830///leukotriene A4 hydrolase	0.731	3.531
38082_at	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	1.689	3.707
38084_at	CBX3	chromobox 3	0.741	2.843
38085_at	CBX3	chromobox 3	0.765	3.351
38087_s_at	S100A4	S100 calcium binding protein A4	1.586	6.557
38088_r_at	S100A4	S100 calcium binding protein A4	-0.585	3.247
38090_at	MIR7109///PISD	microRNA 7109///phosphatidylserine decarboxylase	0.412	1.908
38091_at	LGALS9	galectin 9	0.53	4.663
38095_i_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	2.864	7.956
38096_f_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	3.594	7.343
38098_at	LPIN1	lipin 1	0.438	2.175
38099_r_at	ACSL4	acyl-CoA synthetase long-chain family member 4	1.014	2.258
380_at	TBX5	T-box 5	-0.606	4.508
38103_at	GIGYF2	GRB10 interacting GYF protein 2	-0.388	4.036
38105_at	RSRC2	arginine and serine rich coiled-coil 2	0.877	3.965
38108_at	EGFL8///PPT2	EGF like domain multiple 8///palmitoyl-protein thioesterase 2	-0.347	3.872
38110_at	SDCBP	syndecan binding protein	1.499	4.702
38111_at	VCAN	versican	2.41	6.166
38112_g_at	VCAN	versican	1.796	4.871
38114_at	RAD21	RAD21 cohesin complex component	0.754	2.553
38115_at	TUSC2	tumor suppressor candidate 2	0.361	3.833
38116_at	KIAA0101	KIAA0101	0.848	5.003
38118_at	SHC1	SHC adaptor protein 1	0.724	5.12
38121_at	WARS	tryptophanyl-tRNA synthetase	1.155	7.535
38123_at	CDC123	cell division cycle 123	0.348	2.249
38127_at	SDC1	syndecan 1	-0.853	2.076
38128_at	NAT8B///NAT8	N-acetyltransferase 8B (putative, gene/pseudogene)///N-acetyltransferase 8 (putative)	-1.568	3.446
38132_at	CDC42EP1	CDC42 effector protein 1	-0.321	3.148
38133_at	SLC5A12	solute carrier family 5 member 12	-1.595	4.122
38138_at	S100A11	S100 calcium binding protein A11	1.418	7.248
38139_at	FPGT	fucose-1-phosphate guanylyltransferase	-0.425	2.292
38147_at	SH2D1A	SH2 domain containing 1A	1.283	5.649
38149_at	ARHGAP25	Rho GTPase activating protein 25	0.572	3.797
38150_at	MTAP	methylthioadenosine phosphorylase	0.637	2.33
38153_at	HUS1	HUS1 checkpoint clamp component	-0.282	2.155
38157_at	DXO	decapping exoribonuclease	-0.765	3.991
38160_at	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75	1.796	7.579
38164_at	RPGR	retinitis pigmentosa GTPase regulator	1	4.679
38166_r_at	KMT2D	lysine methyltransferase 2D	-0.459	3.109
38167_at	PPFIA4	PTPRF interacting protein alpha 4	-0.277	1.899
38182_at	TXLNGY	taxilin gamma pseudogene, Y-linked	-0.524	2.415
38184_at	PAX2	paired box 2	0.513	2.799
38193_at	IGKC	immunoglobulin kappa constant	0.447	2.451
38194_s_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	3.683	4.572
381_s_at	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	-0.62	6.526
38200_at	FGD1	FYVE, RhoGEF and PH domain containing 1	-0.504	2.795
38205_at	NEUROD2	neuronal differentiation 2	-0.266	1.871
38210_at	SURF2	surfeit 2	-0.311	2.636
38217_at	MUC6	mucin 6, oligomeric mucus/gel-forming	-0.529	5.638
38220_at	DPYD	dihydropyrimidine dehydrogenase	0.912	2.723
38226_at	INTS10	integrator complex subunit 10	-0.358	2.025
38229_at	CYP3A5	cytochrome P450 family 3 subfamily A member 5	0.587	2.852
38239_at	CLDN18	claudin 18	-0.405	1.983
38240_at			-0.355	2.599
38241_at	BTN3A3	butyrophilin subfamily 3 member A3	0.747	2.79
38242_at	BLNK	B-cell linker	0.483	2.564
38248_at	LZTS3	leucine zipper tumor suppressor family member 3	-0.753	6.834
38255_at	NGDN	neuroguidin	-0.27	2.144
38258_at	MFSD9	major facilitator superfamily domain containing 9	-0.323	1.865
38260_at	LAS1L	LAS1 like, ribosome biogenesis factor	-0.288	2.617
38267_at	SLC1A1	solute carrier family 1 member 1	-1.054	2.871
38268_at	SLC1A1	solute carrier family 1 member 1	-0.513	2.422
38274_at	TMEM115	transmembrane protein 115	0.343	3.007
38276_at	NFKBIE	NFKB inhibitor epsilon	0.446	3.578
38285_at	CRYM	crystallin mu	-0.757	2.918
38287_at	PSMB9	proteasome subunit beta 9	2.203	8.869
38290_at	RGS14	regulator of G-protein signaling 14	-0.27	2.087
38292_at	HOMER2	homer scaffolding protein 2	-0.181	1.961
38304_r_at	KL	klotho	-1.825	3.398
38305_at	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	-0.592	4.74
38307_at	NCDN	neurochondrin	-0.692	2.592
38310_at	CNOT3	CCR4-NOT transcription complex subunit 3	-0.344	3.003
38313_at	ABCA2	ATP binding cassette subfamily A member 2	-0.47	3.072
38316_at	ALDH1L1	aldehyde dehydrogenase 1 family member L1	-0.636	3.562
38319_at	CD3D	CD3d molecule	1.854	6.818
38321_r_at	LIPE	lipase E, hormone sensitive type	-0.445	2.166
38323_at	CPVL	carboxypeptidase, vitellogenic like	0.952	2.549
38327_at	PMEL	premelanosome protein	-0.365	1.947
38335_at	OGG1	8-oxoguanine DNA glycosylase	-0.517	2.701
38338_at	RRAS	related RAS viral (r-ras) oncogene homolog	0.331	3.911
38343_at	ALMS1	ALMS1, centrosome and basal body associated protein	0.313	2.868
38344_at	ALMS1	ALMS1, centrosome and basal body associated protein	0.215	2.092
38348_at	ACOX2	acyl-CoA oxidase 2	-0.348	2.264
38350_f_at	TUBA3D///TUBA3C	tubulin alpha 3d///tubulin alpha 3c	1.028	4.024
38354_at	CEBPB	CCAAT/enhancer binding protein beta	1.446	3.043
38355_at	DDX3Y	DEAD-box helicase 3, Y-linked	2.029	2.09
38356_at	FST	follistatin	0.364	2.797
38357_at	PHIP	pleckstrin homology domain interacting protein	0.546	3.979
38363_at	TYROBP	TYRO protein tyrosine kinase binding protein	2.997	8.931
38364_at	TLE4	transducin like enhancer of split 4	0.91	2.742
38368_at	DUT	deoxyuridine triphosphatase	0.736	3.001
38369_at	MYD88	myeloid differentiation primary response 88	0.519	4.862
38370_at	TIAM1	T-cell lymphoma invasion and metastasis 1	0.499	3.686
38371_at	PSMA1	proteasome subunit alpha 1	0.536	2.018
38376_at	ACADVL	acyl-CoA dehydrogenase, very long chain	-0.487	2.699
38377_at	KAT6A	lysine acetyltransferase 6A	-0.23	2.136
