ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
1422_g_at	CAMK4	calcium/calmodulin dependent protein kinase IV	-0.899	5.369
1424_s_at	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	1.217	7.857
1425_at	PCDHB11	protocadherin beta 11	-0.874	5.65
1428_at	THRB	thyroid hormone receptor beta	-0.284	2.171
1430_at	SST	somatostatin	-0.535	3.363
1431_at	CYP2E1	cytochrome P450 family 2 subfamily E member 1	-0.613	6.708
1432_s_at	LTK	leukocyte receptor tyrosine kinase	-0.488	6.261
1436_at	CYP2D6	cytochrome P450 family 2 subfamily D member 6	-0.694	5.325
1437_at	PRKCA	protein kinase C alpha	-0.865	9.996
1438_at	EPHB3	EPH receptor B3	-0.521	2.827
1439_s_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	-0.348	1.716
143_s_at	TAF5	TATA-box binding protein associated factor 5	-0.438	3.656
1441_s_at	FAS	Fas cell surface death receptor	0.544	1.623
1443_at	DUSP9	dual specificity phosphatase 9	-0.267	2.437
1446_at	PSMA2	proteasome subunit alpha 2	0.957	2.832
1447_at	PSMB1	proteasome subunit beta 1	0.986	4.86
1448_at	PSMA3	proteasome subunit alpha 3	1.209	4.608
1449_at	PSMA4	proteasome subunit alpha 4	1.527	11.651
1450_g_at	PSMA4	proteasome subunit alpha 4	1.298	9.157
1452_at	LMO4	LIM domain only 4	1.062	6.443
1453_at	SMAD2	SMAD family member 2	0.603	2.54
1455_f_at	CYP2C9	cytochrome P450 family 2 subfamily C member 9	-0.481	3.044
1456_s_at	IFI16	interferon gamma inducible protein 16	0.693	2.78
1457_at	JAK1	Janus kinase 1	1.058	5.413
1458_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	-0.849	6.27
1459_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	0.163	1.635
145_s_at	TBX5	T-box 5	-0.709	7.474
1460_g_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	0.778	6.723
1461_at	NFKBIA	NFKB inhibitor alpha	0.68	1.799
1462_s_at	POLD1	DAN polymerase delta 1, catalytic subunit	-0.567	4.836
1463_at	PTPN12	protein tyrosine phosphatase, non-receptor type 12	1.449	4.666
1464_at	MIR483	microRNA 483	-0.467	5.371
1467_at	EPS8	epidermal growth factor receptor pathway substrate 8	1.499	7.232
1468_at	TRAP1	TNF receptor associated protein 1	0.706	3.838
1469_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	-0.459	5.813
146_at	PI4KB	phosphatidylinositol 4-kinase beta	-0.383	4.584
1470_at	POLD2	DAN polymerase delta 2, accessory subunit	-1.11	6.866
1472_g_at	MYB	MYB proto-oncogene, transcription factor	-0.503	2.133
1473_s_at	MYB	MYB proto-oncogene, transcription factor	-0.481	2.198
1474_s_at	MYB	MYB proto-oncogene, transcription factor	-0.24	1.879
1475_s_at	MYB	MYB proto-oncogene, transcription factor	-0.722	5.335
1476_s_at	MYB	MYB proto-oncogene, transcription factor	-0.656	6.678
1477_s_at	CYP2C18	cytochrome P450 family 2 subfamily C member 18	-0.541	7.312
1478_at	ITK	IL2 inducible T-cell kinase	0.528	1.583
147_at	TSG101	tumor susceptibility 101	0.541	4.017
1480_at	HSPA4	heat shock protein family A (Hsp70) member 4	0.795	8.57
1481_at	MMP12	matrix metallopeptidase 12	-0.756	3.542
1483_at	CDH4	cadherin 4	-0.289	3.102
1484_at	CDH8	cadherin 8	-0.775	2.461
1485_at	EPHA7	EPH receptor A7	0.745	2.909
1486_at	POLR2J	RNA polymerase II subunit J	-0.431	5.691
1488_at	PTPRK	protein tyrosine phosphatase, receptor type K	1.177	6.893
1489_s_at	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	-0.483	5.49
1492_f_at	CYP2A7	cytochrome P450 family 2 subfamily A member 7	-0.513	5.915
1493_r_at	CYP2A6	cytochrome P450 family 2 subfamily A member 6	-1.279	5.164
1494_f_at	CYP2A6	cytochrome P450 family 2 subfamily A member 6	-0.477	3.593
1495_at	LTBP1	latent transforming growth factor beta binding protein 1	0.684	3.968
1496_at	PTPRA	protein tyrosine phosphatase, receptor type A	0.354	2.286
1497_at	LTBR	lymphotoxin beta receptor	-0.25	2.81
1499_at	FNTA	farnesyltransferase, CAAX box, alpha	1.091	5.984
149_at	DDX39A	DEAD-box helicase 39A	0.485	2.569
1504_s_at	FGF12	fibroblast growth factor 12	-0.375	3.381
1506_at	IL2RG	interleukin 2 receptor subunit gamma	-0.326	1.849
1507_s_at	EDNRA	endothelin receptor type A	0.337	2.117
1508_at	ITGA9	integrin subunit alpha 9	-0.479	4.123
1509_at	MMP16	matrix metallopeptidase 16	-0.22	1.657
150_at	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	-1.148	5.221
1511_at	SHC3	SHC adaptor protein 3	-0.446	4.235
1512_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	1.127	7.202
1513_at	KLK3	kallikrein related peptidase 3	-0.717	8.339
1514_g_at	KLK3	kallikrein related peptidase 3	-1.235	4.406
1516_g_at	FEN1	flap structure-specific endonuclease 1	-0.321	3.907
1517_at	CYP2F1	cytochrome P450 family 2 subfamily F member 1	-0.51	6.012
1518_at	ETS1	ETS proto-oncogene 1, transcription factor	-0.28	3.548
1519_at	ETS2	ETS proto-oncogene 2, transcription factor	-1.111	4.176
1521_at	NME1	NME/NM23 nucleoside diphosphate kinase 1	0.908	5.909
1522_at	TNK1	tyrosine kinase non receptor 1	-0.428	5.932
1523_g_at	TNK1	tyrosine kinase non receptor 1	-0.76	4.707
1524_at	MOK	MOK protein kinase	-0.723	8.253
1525_s_at	FGF8	fibroblast growth factor 8	-0.877	6.444
1526_i_at	FGF8	fibroblast growth factor 8	-0.804	2.572
1528_at	N4BP2L2-IT2	N4BPL2 intronic transcript 2	-0.307	2.04
