ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
37742_at	TMPPE///GLB1	transmembrane protein with metallophosphoesterase domain///galactosidase beta 1	0.326	3.342
37744_r_at	FEZ1	fasciculation and elongation protein zeta 1	-1.083	7.927
37746_r_at	ST5	suppression of tumorigenicity 5	-0.283	1.52
37747_at	ANXA5	annexin A5	1.561	7.729
37748_at	KIAA0232	KIAA0232	0.758	7.425
37749_at	MEST	mesoderm specific transcript	1.345	4.316
37750_at	UBE2V2	ubiquitin conjugating enzyme E2 V2	0.766	3.668
37751_at	TM9SF4	transmembrane 9 superfamily member 4	0.45	3.735
37752_at	EIF4E	eukaryotic translation initiation factor 4E	0.719	3.363
37753_at	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	-0.36	6.192
37754_at	LGALS3BP	galectin 3 binding protein	0.398	1.572
37755_at	BTBD3	BTB domain containing 3	1.232	7.939
37756_at	RYK	receptor-like tyrosine kinase	1.309	8.351
37759_at	LAPTM5	lysosomal protein transmembrane 5	0.915	4.353
37760_at	BAIAP2	BAI1 associated protein 2	0.355	1.867
37761_at	BAIAP2	BAI1 associated protein 2	-0.35	2.111
37762_at	EMP1	epithelial membrane protein 1	-0.902	4.415
37763_at	RXRB	retinoid X receptor beta	-0.292	3.044
37764_at	HLCS	holocarboxylase synthetase	-0.768	5.887
37765_at	LMOD1	leiomodin 1	-0.83	9.629
37766_s_at	PSMC5	proteasome 26S subunit, ATPase 5	1.126	4.854
37767_at	HTT	huntingtin	-0.686	7.465
37770_at	TAF2	TATA-box binding protein associated factor 2	0.652	2.903
37771_at	TAOK2	TAO kinase 2	-0.256	3.066
37773_at	RPGRIP1L	RPGRIP1 like	-0.424	2.7
37774_at	SEPT6	septin 6	-0.221	1.545
37777_at	PTPRB	protein tyrosine phosphatase, receptor type B	0.333	2.272
37779_at	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	-0.423	7.517
37780_at	PCLO	piccolo presynaptic cytomatrix protein	0.314	2.303
37781_at	NRXN2	neurexin 2	-0.387	3.572
37782_at	SST	somatostatin	-0.434	2.668
37784_at	CDH6	cadherin 6	-0.596	2.367
37785_at	RND1	Rho family GTPase 1	-0.688	7.881
37786_at	MARCH3	membrane associated ring-CH-type finger 3	-0.772	5.593
37787_at	LINC00950	long intergenic non-protein coding RNA 950	-0.436	3.28
37790_at	VENTX	VENT homeobox	-0.633	7.264
37792_s_at	RAD51D	RAD51 paralog D	-0.366	1.721
37793_r_at	RAD51D	RAD51 paralog D	0.718	2.02
37796_at	SAP25///LRCH4	Sin3A associated protein 25///leucine rich repeats and calponin homology domain containing 4	-0.566	2.167
37799_at	ASGR2	asialoglycoprotein receptor 2	-0.412	2.71
37802_r_at	FAM63B	family with sequence similarity 63 member B	1.118	5.04
37804_at	VPS4B	vacuolar protein sorting 4 homolog B	0.521	3.515
37805_at	SRPX2	sushi repeat containing protein, X-linked 2	-0.517	3.748
37806_at	SHANK2	SH3 and multiple ankyrin repeat domains 2	0.387	3.183
37807_at	GCK	glucokinase	-0.816	6.62
37808_at	SNX7	sorting nexin 7	1.001	7.529
37811_at	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	-0.228	1.873
37812_at	CUX2	cut like homeobox 2	-0.411	1.798
37813_at	DDX51	DEAD-box helicase 51	-0.575	8.084
37815_at	DDX51	DEAD-box helicase 51	-0.516	3.602
37818_at	FBXO46	F-box protein 46	-0.828	6.748
37819_at	MDM1	Mdm1 nuclear protein	1.023	6.485
37822_at	KNOP1	lysine rich nucleolar protein 1	-0.763	8.164
37825_at	GALK2	galactokinase 2	0.56	5.15
37828_at	RSBN1	round spermatid basic protein 1	1.125	10.693
37830_at	TSPAN9	tetraspanin 9	-0.459	4.415
37831_at	SIPA1L3	signal induced proliferation associated 1 like 3	-0.496	5.217
37834_at	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B	-0.333	3.756
37840_at	CNGA1	cyclic nucleotide gated channel alpha 1	-0.283	2.005
37841_at	BCHE	butyrylcholinesterase	0.889	3.698
37842_at	MDFIC	MyoD family inhibitor domain containing	0.792	3.831
37843_i_at	IL27RA	interleukin 27 receptor subunit alpha	-0.197	1.711
37845_at	NCKAP1L	NCK associated protein 1 like	-0.47	3.268
37846_at	ARHGAP26	Rho GTPase activating protein 26	-0.516	2.137
37850_at	NIPAL3	NIPA like domain containing 3	-0.498	7.07
37851_at	HIPK2	homeodomain interacting protein kinase 2	-0.594	2.493
37854_at	ZW10	zw10 kinetochore protein	0.585	3.378
37856_at	CD84	CD84 molecule	-0.463	3.05
37858_at	COLQ	collagen like tail subunit of asymmetric acetylcholinesterase	-0.891	5.341
37859_r_at	RPL23AP53	ribosomal protein L23a pseudogene 53	-0.981	4.836
37861_at	CD1E	CD1e molecule	-0.477	1.541
37862_at	DBT	dihydrolipoamide branched chain transacylase E2	-0.365	2.54
37864_s_at	MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG2///IGHG1	microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)	2.22	2.873
37865_at	EDN3	endothelin 3	-0.453	3.609
37866_at	LINC01314	long intergenic non-protein coding RNA 1314	-0.359	1.989
37867_at	MOG	myelin oligodendrocyte glycoprotein	-0.619	8.22
37870_at	TTF2	transcription termination factor 2	-0.278	3.094
37872_at	JRK	Jrk helix-turn-helix protein	-0.298	1.8
37876_at	PRKD3	protein kinase D3	0.51	2.976
37877_at	NAT9	N-acetyltransferase 9 (putative)	-0.336	4.155
37879_r_at	TPH1	tryptophan hydroxylase 1	-0.652	2.44
37882_at	GTF2E1	general transcription factor IIE subunit 1	0.696	5.205
37884_f_at	C2orf27A	chromosome 2 open reading frame 27A	-0.304	1.763
37885_at	C2orf27B///C2orf27A	chromosome 2 open reading frame 27B///chromosome 2 open reading frame 27A	-0.494	4.541
37886_at	AKAP8L	A-kinase anchoring protein 8 like	-0.493	3.396
37887_at	CHEK2	checkpoint kinase 2	-0.742	5.752
37888_at	SLC35D1	solute carrier family 35 member D1	-0.553	5.284
37889_at	CD47	CD47 molecule	-0.403	1.717
37890_at	CD47	CD47 molecule	0.669	4.825
37891_at	YIPF6	Yip1 domain family member 6	0.857	3.959
37892_at	COL11A1	collagen type XI alpha 1 chain	-0.319	3.073
37894_at	CUL2	cullin 2	0.984	6.762
37895_at	SLC35A1	solute carrier family 35 member A1	1.051	10.063
37896_at	TFF3	trefoil factor 3	-0.378	1.708
37898_r_at	TFF3	trefoil factor 3	-0.839	9.896
37899_at	TYMS	thymidylate synthetase	0.6	5.751
378_s_at	GML	glycosylphosphatidylinositol anchored molecule like	-0.344	4.558
37900_at	PEX11B	peroxisomal biogenesis factor 11 beta	1.317	10.665
37902_at	CRYZ	crystallin zeta	1.168	2.397
37905_r_at	GNL1	G protein nucleolar 1 (putative)	-0.758	7.145
37907_at	F8A3///F8A2///F8A1	coagulation factor VIII-associated 3///coagulation factor VIII-associated 2///coagulation factor VIII-associated 1	0.927	5.908
37908_at	GNG11	G protein subunit gamma 11	1.117	3.678
37909_at	LAMA3	laminin subunit alpha 3	-0.231	1.66
37910_at	HCFC1	host cell factor C1	1.49	11.376
37911_at	STX4	syntaxin 4	0.392	1.655
37912_at	TRAF4	TNF receptor associated factor 4	-0.733	6.074
37913_at	DHFR	dihydrofolate reductase	0.273	2.64
37914_at	ZFYVE16	zinc finger FYVE-type containing 16	0.866	4.24
37915_at	BAZ2B	bromodomain adjacent to zinc finger domain 2B	0.824	6.152
37916_at	HMOX2	heme oxygenase 2	-0.402	4.628
37920_at	PITX1	paired like homeodomain 1	-0.453	5.036
37926_at	KLF5	Kruppel like factor 5	-0.577	2.808
37927_at	RCC1	regulator of chromosome condensation 1	-0.429	2.898
37928_at	NFYB	nuclear transcription factor Y subunit beta	0.452	2.668
37929_at	CADM1	cell adhesion molecule 1	0.566	1.909
37934_at	TMEM30B	transmembrane protein 30B	-0.33	1.906
37938_at	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	0.58	3.09
37939_at	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C	-0.399	2.358
37940_f_at	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C	-0.386	3.395
37941_at	MYBPC2	myosin binding protein C, fast type	-0.603	2.424
37942_at	GPR162	G protein-coupled receptor 162	-0.311	2.544
37944_at	GCH1	GTP cyclohydrolase 1	1.227	2.722
37947_at	BRD3	bromodomain containing 3	0.572	4.506
37948_at	ATP6V1C1	ATPase H+ transporting V1 subunit C1	1.058	5.012
37950_at	PREP	prolyl endopeptidase	-0.404	3.809
37951_at	DLC1	DLC1 Rho GTPase activating protein	0.322	1.833
37954_at	ANXA8L1///ANXA8	annexin A8-like 1///annexin A8	-0.546	10.09
37956_at	ALDH3B2	aldehyde dehydrogenase 3 family member B2	-0.541	2.132
37957_at	ATG4A	autophagy related 4A cysteine peptidase	-0.368	4.841
37958_at	TMEM47	transmembrane protein 47	0.987	5.656
37959_at	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	-0.208	1.728
37960_at	CHST2	carbohydrate sulfotransferase 2	-0.494	2.966
37961_at	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	0.274	1.75
37962_r_at	STXBP3	syntaxin binding protein 3	0.769	2.633
37964_at	PCGF3	polycomb group ring finger 3	1.077	7.735
37965_at	PARVB	parvin beta	-0.378	2.338
37967_at	LST1	leukocyte specific transcript 1	-0.734	8.823
37968_at	NCR3	natural cytotoxicity triggering receptor 3	-0.376	3.423
37971_at	BAZ1A	bromodomain adjacent to zinc finger domain 1A	0.815	1.6
37975_at	CYBB	cytochrome b-245 beta chain	0.708	3.002
37976_at	VSIG4	V-set and immunoglobulin domain containing 4	-0.447	2.732
37978_at	QPRT	quinolinate phosphoribosyltransferase	0.286	2.65
37979_at	YAP1	Yes associated protein 1	0.732	6.888
37981_at	DBN1	drebrin 1	0.498	6.29
37982_at	ECI1	enoyl-CoA delta isomerase 1	0.945	6.018
37983_at	AGTR1	angiotensin II receptor type 1	0.458	3.812
37984_s_at	ARF6	ADP ribosylation factor 6	1.588	8.082
37985_at	LMNB1	lamin B1	-0.382	1.805
37986_at	EPOR	erythropoietin receptor	-0.326	2.331
37987_at	NCBP1	nuclear cap binding protein subunit 1	-0.413	1.522
37988_at	CD79B	CD79b molecule	-0.377	2.212
37990_at	RYR1	ryanodine receptor 1	-1.146	1.622
37991_at	STT3A	STT3A, catalytic subunit of the oligosaccharyltransferase complex	0.927	5.749
37993_at	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	-0.55	4.372
37994_at	FMR1	fragile X mental retardation 1	1.232	8.309
37995_s_at	FMR1	fragile X mental retardation 1	1.146	7.076
37997_r_at	DMWD	dystrophia myotonica, WD repeat containing	-0.432	2.957
37998_at	SKIV2L	Ski2 like RNA helicase	-0.243	2.205
37999_at	CPOX	coproporphyrinogen oxidase	0.917	6.098
379_at	TXNDC9	thioredoxin domain containing 9	1.175	6.273
38000_at	PC	pyruvate carboxylase	0.961	7.468
38002_s_at	CACNA1C	calcium voltage-gated channel subunit alpha1 C	-0.973	4.156
38003_s_at	DGKZ	diacylglycerol kinase zeta	0.4	1.866
38004_at	CSPG4	chondroitin sulfate proteoglycan 4	-0.606	4.511
38005_at	SLC35D2	solute carrier family 35 member D2	0.357	2.908
38008_at	NSG1	neuron specific gene family member 1	-0.365	1.808
38009_at	SPDEF	SAM pointed domain containing ETS transcription factor	-0.393	2.004
38010_at	BNIP3	BCL2 interacting protein 3	1.326	8.971
38011_at	URI1	URI1, prefoldin like chaperone	0.664	5.65
38014_at	ADAR	adenosine deaminase, RNA specific	0.698	6.454
38015_at			-0.855	3.154
38016_at	HNRNPD	heterogeneous nuclear ribonucleoprotein D	-0.42	4.148
38017_at	CD79A	CD79a molecule	-0.915	6.698
38019_at	LOC400927-CSNK1E///CSNK1E	LOC400927-CSNK1E readthrough///casein kinase 1 epsilon	-0.583	7.321
38020_at	ATG13	autophagy related 13	-0.463	4.623
38021_at	PLEC	plectin	-0.58	4.685
38022_s_at	PLEC	plectin	-0.746	5.861
38025_r_at	RUFY3	RUN and FYVE domain containing 3	0.57	3.411
38029_at	SLC3A2	solute carrier family 3 member 2	0.388	2.183
38030_at	U2SURP	U2 snRNP associated SURP domain containing	-0.434	2.65
38031_at	EIF4A3	eukaryotic translation initiation factor 4A3	0.861	2.587
38032_at	SV2A	synaptic vesicle glycoprotein 2A	-0.199	1.754
38033_at	SEPT10	septin 10	1.507	8.268
38035_at	MTMR6	myotubularin related protein 6	0.823	7.294
38036_at	RPIA	ribose 5-phosphate isomerase A	0.673	3.778
38037_at	HBEGF	heparin binding EGF like growth factor	-0.361	2.527
38038_at	LUM	lumican	1.729	2.682
38039_at	CYP19A1	cytochrome P450 family 19 subfamily A member 1	-0.517	2.882
38041_at	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	1.533	7.44
38042_at	PRKCA	protein kinase C alpha	0.894	6.781
38043_at	FAM3A	family with sequence similarity 3 member A	-0.597	6.241
38044_at	FAM107A	family with sequence similarity 107 member A	-0.323	3.382
38047_at	RBPMS	RNA binding protein with multiple splicing	0.314	3.188
38049_g_at	RBPMS	RNA binding protein with multiple splicing	0.782	9.462
38050_at	BCLAF1	BCL2 associated transcription factor 1	1.126	7.689
38051_at	MAL	mal, T-cell differentiation protein	0.532	2.1
38052_at	F13A1	coagulation factor XIII A chain	-0.414	2.432
38053_s_at	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)	0.47	5.834
38055_at	POLR2J	RNA polymerase II subunit J	0.277	1.938
38057_at	DPT	dermatopontin	-0.938	12.129
38058_at	DPT	dermatopontin	-0.49	3.312
38059_g_at	DPT	dermatopontin	0.272	1.722
38060_at	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	0.422	1.747
38062_at	RAPGEF5	Rap guanine nucleotide exchange factor 5	0.45	2.383
38063_at	PBXIP1	PBX homeobox interacting protein 1	-0.491	4.676
38064_at	MVP	major vault protein	1.09	7.408
38065_at	HMGB2	high mobility group box 2	1.453	5.441
38070_at	MARCH6	membrane associated ring-CH-type finger 6	1.463	11.934
38071_at	HNRNPF	heterogeneous nuclear ribonucleoprotein F	-0.234	1.779
38074_at	AP3S1	adaptor related protein complex 3 sigma 1 subunit	1.293	9.602
38075_at	SYPL1	synaptophysin like 1	1.333	5.49
38076_at	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)	0.268	2.136
38081_at	LOC101928830///LTA4H	uncharacterized LOC101928830///leukotriene A4 hydrolase	0.704	3.837
38082_at	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	1.001	1.838
38083_at	NOTCH2	notch 2	-0.64	1.688
38084_at	CBX3	chromobox 3	1.075	5.206
38085_at	CBX3	chromobox 3	1.231	7.167
38086_at	IGSF3	immunoglobulin superfamily member 3	1.201	6.427
38088_r_at	S100A4	S100 calcium binding protein A4	-1.058	8.105
38091_at	LGALS9	galectin 9	-0.464	5.013
38093_at	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	1.613	10.943
38094_at	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	-0.365	5.948
38095_i_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	1.735	5.793
38096_f_at	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	2.347	5.888
38097_at	EI24	EI24, autophagy associated transmembrane protein	-0.544	5.561
38099_r_at	ACSL4	acyl-CoA synthetase long-chain family member 4	1.659	5.179
380_at	TBX5	T-box 5	-0.753	6.664
38100_at	SEC62	SEC62 homolog, preprotein translocation factor	0.61	4.097
38102_at	MICU2	mitochondrial calcium uptake 2	1.296	6.337
38103_at	GIGYF2	GRB10 interacting GYF protein 2	-0.198	1.693
38104_at	DECR1	2,4-dienoyl-CoA reductase 1, mitochondrial	0.862	4.074
38105_at	RSRC2	arginine and serine rich coiled-coil 2	1.533	8.458
38107_at	UNC119	unc-119 lipid binding chaperone	-0.34	3.432
38109_at	PPT2-EGFL8///EGFL8///PPT2	PPT2-EGFL8 readthrough (NMD candidate)///EGF like domain multiple 8///palmitoyl-protein thioesterase 2	-0.395	2.471
38110_at	SDCBP	syndecan binding protein	1.474	5.303
38111_at	VCAN	versican	1.12	2.232
38112_g_at	VCAN	versican	0.987	2.275
38113_at	SYNE1	spectrin repeat containing nuclear envelope protein 1	0.868	4.117
38114_at	RAD21	RAD21 cohesin complex component	1.124	5.047
38115_at	TUSC2	tumor suppressor candidate 2	0.7	9.766
38118_at	SHC1	SHC adaptor protein 1	0.826	6.75
38120_at	PKD2	polycystin 2, transient receptor potential cation channel	1.326	7.268
38124_at	MDK	midkine (neurite growth-promoting factor 2)	-0.249	1.717
38126_at	BGN	biglycan	-0.392	1.951
38129_at	GK	glycerol kinase	0.665	2.388
38130_s_at	GK3P///GK2///GK	glycerol kinase 3 pseudogene///glycerol kinase 2///glycerol kinase	0.874	3.5
38132_at	CDC42EP1	CDC42 effector protein 1	-0.473	6.053
38133_at	SLC5A12	solute carrier family 5 member 12	1.203	4.364
38134_at	PLAG1	PLAG1 zinc finger	0.716	5.276
38135_at	CEP290	centrosomal protein 290	-0.229	1.643
38137_at	FKBP6	FK506 binding protein 6	-0.489	4.748
38138_at	S100A11	S100 calcium binding protein A11	0.824	4.577
38139_at	FPGT	fucose-1-phosphate guanylyltransferase	0.722	5.782
38140_at	EXTL1	exostosin like glycosyltransferase 1	-0.702	4.554
38141_at	C5orf22	chromosome 5 open reading frame 22	0.933	4.153
38142_at	ZNF211	zinc finger protein 211	0.374	2.762
38143_at	KLK7	kallikrein related peptidase 7	-1.141	3.235
38145_at	PATJ	PATJ, crumbs cell polarity complex component	0.904	5.221
38148_at	CRY1	cryptochrome circadian clock 1	0.759	2.68
38150_at	MTAP	methylthioadenosine phosphorylase	0.963	4.824
38151_at	VWA5A	von Willebrand factor A domain containing 5A	0.189	1.509
38155_at	ORC5	origin recognition complex subunit 5	0.633	6.937
38156_at	MDFI	MyoD family inhibitor	-0.364	3.296
38157_at	DXO	decapping exoribonuclease	-0.928	5.783
38158_at	ESPL1	extra spindle pole bodies like 1, separase	0.373	1.762
38160_at	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75	1.368	5.811
38164_at	RPGR	retinitis pigmentosa GTPase regulator	0.495	1.87
38166_r_at	KMT2D	lysine methyltransferase 2D	-0.938	8.989
38167_at	PPFIA4	PTPRF interacting protein alpha 4	-0.527	5.269
38168_at	INPP4B	inositol polyphosphate-4-phosphatase type II B	-0.411	1.698
38169_s_at	SLC7A2	solute carrier family 7 member 2	-0.763	3.055
38170_at	VPS13A	vacuolar protein sorting 13 homolog A	0.515	5.737
38172_at	CBR3	carbonyl reductase 3	-0.562	5.836
38174_at	PSD	pleckstrin and Sec7 domain containing	-0.355	4.303
38176_at	GNB5	G protein subunit beta 5	0.693	3.634
38178_at	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	-0.402	3.106
38180_f_at	PSG9	pregnancy specific beta-1-glycoprotein 9	-0.254	2.292
38181_at	MMP11	matrix metallopeptidase 11	-0.432	5.857
38182_at	TXLNGY	taxilin gamma pseudogene, Y-linked	-0.727	4.327
38184_at	PAX2	paired box 2	0.532	3.373
38185_at	PAX2	paired box 2	-0.523	2.998
38187_at	NAT1	N-acetyltransferase 1	0.624	7.449
38190_r_at	DEPDC5	DEP domain containing 5	-0.622	5.484
38191_at	DEPDC5	DEP domain containing 5	-0.17	1.643
38194_s_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	3.114	4.61
38195_at	PHF14	PHD finger protein 14	-0.521	4.262
381_s_at	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	-0.766	9.196
38200_at	FGD1	FYVE, RhoGEF and PH domain containing 1	-0.695	4.931
38201_at	BCAT1	branched chain amino acid transaminase 1	-0.387	1.866
38204_at	TTI1	TELO2 interacting protein 1	-0.375	2.032
38205_at	NEUROD2	neuronal differentiation 2	-0.423	4.119
38206_at	RPL3L	ribosomal protein L3 like	-0.441	4.194
38207_at	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)	0.757	2.695
38208_at	SLC35A3	solute carrier family 35 member A3	0.826	6.946
38211_at	ZBTB20	zinc finger and BTB domain containing 20	1.528	6.137
38212_at	B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1	-0.331	3.864
38214_at	PTCH1	patched 1	-0.674	7.386
38215_at	MPPED1	metallophosphoesterase domain containing 1	-0.453	5.064
38217_at	MUC6	mucin 6, oligomeric mucus/gel-forming	-0.88	11.082
38219_at	CRK	CRK proto-oncogene, adaptor protein	-0.644	3.686
38220_at	DPYD	dihydropyrimidine dehydrogenase	1.014	3.6
38221_at	CNKSR1	connector enhancer of kinase suppressor of Ras 1	-0.521	5.964
38222_at	P2RY6	pyrimidinergic receptor P2Y6	-0.396	3.871
38223_at	TBC1D8	TBC1 domain family member 8	0.562	2.664
38224_at	SNAPC3	small nuclear RNA activating complex polypeptide 3	0.385	4.507
38225_at	KCNH2	potassium voltage-gated channel subfamily H member 2	-0.304	2.555
38227_at	MITF	melanogenesis associated transcription factor	0.251	1.636
38228_g_at	MITF	melanogenesis associated transcription factor	0.95	6.293
38230_at	EPAS1	endothelial PAS domain protein 1	-0.897	7.841
38234_at	TLE3	transducin like enhancer of split 3	-1.006	3.677
38235_at	ARHGEF15	Rho guanine nucleotide exchange factor 15	-0.365	3.215
38236_at	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	-0.569	2.436
38238_at	SLC2A2	solute carrier family 2 member 2	-0.652	2.568
38239_at	CLDN18	claudin 18	-0.805	5.757
38240_at			-0.461	4.262
38241_at	BTN3A3	butyrophilin subfamily 3 member A3	0.675	2.714
38242_at	BLNK	B-cell linker	1.025	7.989
38243_at	NCAM1	neural cell adhesion molecule 1	-0.288	1.75
38246_r_at			-1.427	2.893
38247_at	F2RL1	F2R like trypsin receptor 1	1.142	8.979
38252_s_at	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	0.799	5.773
38253_at	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	1.667	10.582
38254_at	TBC1D9	TBC1 domain family member 9	0.716	4.844
38255_at	NGDN	neuroguidin	-0.371	3.836
38256_s_at	NGDN	neuroguidin	0.832	5.55
38257_at	MIR7113///MIR4691///NDUFS8	microRNA 7113///microRNA 4691///NADH:ubiquinone oxidoreductase core subunit S8	1.088	4.072
