ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
1414_at			0.468	1.95
1415_at			0.391	2.147
1419_g_at	NOS2	nitric oxide synthase 2	0.554	7.396
141_s_at	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	0.447	4.942
1421_at	CAMK4	calcium/calmodulin dependent protein kinase IV	0.642	1.922
1422_g_at	CAMK4	calcium/calmodulin dependent protein kinase IV	0.733	3.707
1423_at	UBE2G1	ubiquitin conjugating enzyme E2 G1	-0.629	2.111
1425_at	PCDHB11	protocadherin beta 11	0.42	1.805
1426_at	SLA	Src-like-adaptor	0.387	2.298
1427_g_at	SLA	Src-like-adaptor	1.858	7.029
1428_at	THRB	thyroid hormone receptor beta	0.343	2.595
1432_s_at	LTK	leukocyte receptor tyrosine kinase	0.534	6.368
1436_at	CYP2D6	cytochrome P450 family 2 subfamily D member 6	0.49	2.972
1437_at	PRKCA	protein kinase C alpha	0.357	2.935
143_s_at	TAF5	TATA-box binding protein associated factor 5	0.458	3.546
1444_at	PSMD9	proteasome 26S subunit, non-ATPase 9	-0.329	2.004
1445_at	CCRL2	C-C motif chemokine receptor like 2	0.367	2.457
1448_at	PSMA3	proteasome subunit alpha 3	-0.92	2.92
1449_at	PSMA4	proteasome subunit alpha 4	-0.546	3.063
1456_s_at	IFI16	interferon gamma inducible protein 16	0.756	3.167
1457_at	JAK1	Janus kinase 1	-0.68	2.748
1458_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	0.56	3.405
1459_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	-0.425	5.55
1460_g_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	-0.818	6.518
1461_at	NFKBIA	NFKB inhibitor alpha	1.11	2.639
1464_at	MIR483	microRNA 483	0.328	2.99
1465_s_at	MYBL1	MYB proto-oncogene like 1	0.262	1.757
1467_at	EPS8	epidermal growth factor receptor pathway substrate 8	-1.622	7.219
1468_at	TRAP1	TNF receptor associated protein 1	-0.751	3.792
