ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
36123_at	TST	thiosulfate sulfurtransferase	0.904	3.363	-1.853	8.464	-0.949	3.958	-1.11	3.771
36162_at	BSG	basigin (Ok blood group)	0.418	3.55	-0.766	7.459	-0.348	2.675	-0.553	3.955
36454_at	CA12	carbonic anhydrase 12	1.004	1.739	-2.316	5.68	-1.312	2.887	-1.566	2.775
36528_at	ASL	argininosuccinate lyase	0.484	3.615	-0.833	6.561	-0.349	1.876	-0.542	2.916
36537_at	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	1.28	11.95	-0.701	5.918	0.579	4.223	0.714	4.495
36547_r_at	SFI1	SFI1 centrin binding protein	-1.081	10.245	0.428	3.177	-0.653	5.011	-0.477	2.636
36571_at	TOP2B	topoisomerase (DNA) II beta	1.512	10.555	-0.583	3.08	0.93	5.63	0.677	3.017
36592_at	PHB	prohibitin	-0.279	1.73	-0.364	2.532	-0.643	5.196	-0.506	3.046
36678_at	TAGLN2	transgelin 2	0.356	2.267	0.555	3.37	0.91	6.523	0.639	3.352
36876_at	FAH	fumarylacetoacetate hydrolase	0.636	4.337	-1.165	8.243	-0.529	2.906	-0.69	3.46
36880_at	NQO2	NAD(P)H quinone dehydrogenase 2	0.549	2.763	-1.372	8.527	-0.823	4.665	-0.863	4.013
36991_at	SRSF4	serine and arginine rich splicing factor 4	0.499	2.981	0.7	4.095	1.199	7.856	0.918	4.771
37011_at	AIF1	allograft inflammatory factor 1	1.029	2.944	0.747	1.929	1.777	5.775	1.84	4.786
37023_at	LCP1	lymphocyte cytosolic protein 1	0.915	2.512	1.758	4.714	2.673	7.626	1.882	4.331
37039_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	1.253	5.409	0.951	2.654	2.204	8.404	1.453	4.102
37070_at	MPZ	myelin protein zero	-0.859	11.234	0.472	5.398	-0.388	3.925	-0.426	3.588
37121_at	NKG7	natural killer cell granule protein 7	0.288	2.392	0.449	3.856	0.737	7.167	0.501	3.586
37219_at	CXCL9	C-X-C motif chemokine ligand 9	1.153	2.277	1.757	2.956	2.91	5.682	1.959	2.91
37237_at	AP3M2	adaptor related protein complex 3 mu 2 subunit	0.367	2.594	0.391	2.718	0.758	6.325	0.485	2.846
37239_r_at	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-1.025	10.81	0.364	3.017	-0.661	5.919	-0.479	3.155
37307_at	GNAI2	G protein subunit alpha i2	0.443	2.095	0.633	2.69	1.075	5.632	0.93	3.885
37344_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	0.986	4.283	0.924	2.96	1.91	7.642	1.456	4.693
37398_at	PECAM1	platelet and endothelial cell adhesion molecule 1	0.809	3.018	0.641	1.943	1.449	5.729	1.141	3.47
37399_at	AKR1C3	aldo-keto reductase family 1, member C3	1.072	2.415	-2.346	6.779	-1.274	3.348	-1.991	4.403
37403_at	ANXA1	annexin A1	1.055	4.16	0.745	2.565	1.8	7.553	1.188	3.703
37404_at	RGS12	regulator of G-protein signaling 12	-0.454	6.108	0.19	1.705	-0.264	2.544	-0.342	2.917
37405_at	SELENBP1	selenium binding protein 1	0.952	3.787	-1.8	8.326	-0.849	3.475	-0.849	2.752
37420_i_at	HLA-F	major histocompatibility complex, class I, F	1.623	5.81	1.509	3.482	3.132	8.996	2.343	5.683
37508_f_at	PRPF40A	pre-mRNA processing factor 40 homolog A	2.176	13.659	-0.963	5.551	1.213	7.367	0.822	3.759
37523_at	ACADL	acyl-CoA dehydrogenase, long chain	-0.36	3.254	-0.266	1.83	-0.626	5.924	-0.497	3.579
37591_at	UCP2	uncoupling protein 2	0.711	3.875	0.5	2.115	1.211	6.74	0.976	4.27
37606_at	KHK	ketohexokinase	0.197	2	-0.566	7.334	-0.368	4.11	-0.312	2.646
37608_g_at	KHK	ketohexokinase	0.961	3.478	-2.166	9.288	-1.205	4.988	-0.918	2.843
37645_at	CD69	CD69 molecule	0.614	1.552	1.088	3.977	1.703	6.288	1.404	4.055
37688_f_at	FCGR2A	Fc fragment of IgG receptor IIa	1.265	1.576	1.551	2.941	2.817	4.975	1.982	2.812
37731_at	EPS15	epidermal growth factor receptor pathway substrate 15	1.479	9.837	-0.718	3.94	0.761	3.966	0.689	2.768
37759_at	LAPTM5	lysosomal protein transmembrane 5	0.915	4.353	1.643	6.557	2.558	10.567	1.902	6.794
37895_at	SLC35A1	solute carrier family 35 member A1	1.051	10.063	-0.513	4.035	0.538	3.96	0.491	2.8
37910_at	HCFC1	host cell factor C1	1.49	11.376	-0.843	5.754	0.647	3.649	0.613	2.714
