Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteoglycans in cancer	4/205	2.297689704507059E-5	9.037696589846057E-5	0	0	30.28243398392652	323.44732309952866	AKT2;AKT3;AKT1;IGF1
Acute myeloid leukemia	3/67	2.3626087672544297E-5	9.037696589846057E-5	0	0	66.69308035714286	710.4919923519662	AKT2;AKT3;AKT1
Fc epsilon RI signaling pathway	3/68	2.4703551446813377E-5	9.037696589846057E-5	0	0	65.66373626373627	696.597918519208	AKT2;AKT3;AKT1
Rap1 signaling pathway	4/210	2.5253723759861522E-5	9.037696589846057E-5	0	0	29.539955190440626	312.72582675505316	AKT2;AKT3;AKT1;IGF1
Renal cell carcinoma	3/69	2.5812886349118805E-5	9.037696589846057E-5	0	0	64.66558441558442	683.1684076264532	AKT2;AKT3;AKT1
Central carbon metabolism in cancer	3/70	2.6954533689014554E-5	9.037696589846057E-5	0	0	63.69722814498934	670.1814077280485	AKT2;AKT3;AKT1
Prolactin signaling pathway	3/70	2.6954533689014554E-5	9.037696589846057E-5	0	0	63.69722814498934	670.1814077280485	AKT2;AKT3;AKT1
Non-small cell lung cancer	3/72	2.9336526015324558E-5	9.555325616419998E-5	0	0	61.84472049689441	645.4533841428498	AKT2;AKT3;AKT1
Chronic myeloid leukemia	3/76	3.450756879106439E-5	1.0632061735625245E-4	0	0	58.44422700587084	600.475384304079	AKT2;AKT3;AKT1
Pancreatic cancer	3/76	3.450756879106439E-5	1.0632061735625245E-4	0	0	58.44422700587084	600.475384304079	AKT2;AKT3;AKT1
Ras signaling pathway	4/232	3.729060095317778E-5	1.1187180285953334E-4	0	0	26.65991902834008	271.8450425086825	AKT2;AKT3;AKT1;IGF1
B cell receptor signaling pathway	3/81	4.177051041527768E-5	1.2209841506004244E-4	0	0	54.684065934065934	551.3969335197019	AKT2;AKT3;AKT1
ErbB signaling pathway	3/85	4.8253836016492294E-5	1.3752343264700304E-4	0	0	52.00609756097561	516.8904358545194	AKT2;AKT3;AKT1
Colorectal cancer	3/86	4.997170394351769E-5	1.389457134039272E-4	0	0	51.37693631669535	508.8399328239387	AKT2;AKT3;AKT1
PD-L1 expression and PD-1 checkpoint pathway in cancer	3/89	5.536499618141265E-5	1.502764182066915E-4	0	0	49.57724252491694	485.9344660627651	AKT2;AKT3;AKT1
Small cell lung cancer	3/92	6.11266918299256E-5	1.620568108979423E-4	0	0	47.89887640449438	464.7418148047324	AKT2;AKT3;AKT1
Fc gamma R-mediated phagocytosis	3/97	7.157895938391714E-5	1.854545765856035E-4	0	0	45.33966565349544	432.75393252672956	AKT2;AKT3;AKT1
Choline metabolism in cancer	3/98	7.380057941940957E-5	1.8696146786250422E-4	0	0	44.86015037593985	426.8059294247894	AKT2;AKT3;AKT1
AGE-RAGE signaling pathway in diabetic complications	3/100	7.837829876798801E-5	1.9424187085979636E-4	0	0	43.930780559646536	415.3199946350019	AKT2;AKT3;AKT1
Chagas disease	3/102	8.313806875052501E-5	2.0082962767165553E-4	0	0	43.03896103896104	404.351376958666	AKT2;AKT3;AKT1
T cell receptor signaling pathway	3/104	8.808317003142788E-5	2.0082962767165553E-4	0	0	42.18246110325318	393.86730230343085	AKT2;AKT3;AKT1
Toll-like receptor signaling pathway	3/104	8.808317003142788E-5	2.0082962767165553E-4	0	0	42.18246110325318	393.86730230343085	AKT2;AKT3;AKT1
C-type lectin receptor signaling pathway	3/104	8.808317003142788E-5	2.0082962767165553E-4	0	0	42.18246110325318	393.86730230343085	AKT2;AKT3;AKT1
