Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Physico Chemical Features And Toxicity Associated Pathways WP3680	1/66	0.054664164526580065	0.06657814910288597	0	0	19.151923076923076	55.66596287289847	AKT1
RAC1 PAK1 P38 MMP2 Pathway WP3303	1/68	0.056275905553084066	0.06778345699807638	0	0	18.578358208955223	53.4590176825742	AKT1
DNA Damage Response WP707	1/69	0.05708080589311695	0.06778345699807638	0	0	18.30422794117647	52.410264641542106	AKT1
Sterol Regulatory Element Binding Proteins SREBP Signaling WP1982	1/69	0.05708080589311695	0.06778345699807638	0	0	18.30422794117647	52.410264641542106	AKT1
Urotensin II Mediated Signaling Pathway WP5158	1/69	0.05708080589311695	0.06778345699807638	0	0	18.30422794117647	52.410264641542106	AKT1
Leptin Signaling Pathway WP2034	1/71	0.05868866866009026	0.06883238916924167	0	0	17.779464285714287	50.413824044500984	AKT1
Parkin Ubiquitin Proteasomal System Pathway WP2359	1/71	0.05868866866009026	0.06883238916924167	0	0	17.779464285714287	50.413824044500984	PSMD3
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	1/72	0.05949163205762846	0.06934607417760372	0	0	17.528169014084508	49.46308393849017	AKT1
Prolactin Signaling Pathway WP2037	1/74	0.06109562531641464	0.07035253824314414	0	0	17.046232876712327	47.64959069441307	AKT1
Burn Wound Healing WP5055	1/74	0.06109562531641464	0.07035253824314414	0	0	17.046232876712327	47.64959069441307	AKT1
T Cell Receptor Signaling Pathway WP69	1/75	0.061896656139105055	0.07084557027969855	0	0	16.815033783783782	46.78428556789713	AKT1
A Network Map Of Macrophage Stimulating Protein MSP Signaling WP5353	1/82	0.06748588875841267	0.07678035247963119	0	0	15.356481481481481	41.39856725730863	AKT1
Acute Viral Myocarditis WP4298	1/84	0.06907704654570627	0.07812285026002495	0	0	14.984939759036145	40.0477427233344	AKT1
Clear Cell Renal Cell Carcinoma Pathways WP4018	1/85	0.06987166688143397	0.0785539450146299	0	0	14.805803571428571	39.39965059231033	AKT1
Androgen Receptor Signaling Pathway WP138	1/87	0.07145899283790368	0.07939888093100408	0	0	14.460029069767442	38.15468849161774	AKT1
Hair Follicle Development Cytodifferentiation Part 3 Of 3 WP2840	1/87	0.07145899283790368	0.07939888093100408	0	0	14.460029069767442	38.15468849161774	IGF1
T Cell Activation SARS CoV 2 WP5098	1/88	0.0722516994220309	0.07981292378015041	0	0	14.293103448275861	37.55655048582739	AKT1
TNF Alpha Signaling Pathway WP231	1/89	0.07304376905454353	0.08022148046452758	0	0	14.129971590909092	36.97384637926978	AKT1
B Cell Receptor Signaling Pathway WP23	1/92	0.0754161609714499	0.08226750361740204	0	0	13.662087912087912	35.31285890817634	AKT1
Corticotropin Releasing Hormone Signaling Pathway WP2355	1/93	0.07620568756138293	0.08226750361740204	0	0	13.512907608695652	34.78653722330656	AKT1
Thyroid Hormones Production And Peripheral Downstream Signaling Effects WP4746	1/93	0.07620568756138293	0.08226750361740204	0	0	13.512907608695652	34.78653722330656	AKT3
Androgen Receptor Network In Prostate Cancer WP2263	1/109	0.08875213672437633	0.09473542684062641	0	0	11.50173611111111	27.856144115209812	AKT1
CKAP4 Signaling Pathway Map WP5322	1/109	0.08875213672437633	0.09473542684062641	0	0	11.50173611111111	27.856144115209812	AKT1
Gastrin Signaling Pathway WP4659	1/115	0.09341557178092073	0.09915619351047453	0	0	10.893092105263158	25.824223238913735	AKT1
22Q11 2 Copy Number Variation Syndrome WP4657	1/118	0.09573885727717192	0.10105768268145925	0	0	10.612179487179487	24.89756359905353	SLC2A4
